0,fullname,team,team_code,country,height,weight,birthplace,rider_code,age,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day,nb_dnf_otl,pct_dnf_otl,group
1,sam  bennett ,bora - hansgrohe,bora-hansgrohe-2023,ireland,1.78,73,wervik,sam-bennett,32,95,18,38,50,2458,39.45555556,0.189473684,0.4,0.526315789,25.87368421,178,5,7,12,776,103.8527607,0.028089888,0.039325843,0.06741573,4.359550562,23,0,0,0,0,100.7727273,0,0,0,0,22,0,0,0,185,0,0,0,8.409090909,52,3,6,12,1109,41.64864865,0.057692308,0.115384615,0.230769231,21.32692308,19,0.064189189,sprinter
2,bob  jungels ,bora - hansgrohe,bora-hansgrohe-2023,luxembourg,1.89,70,rollingen,bob-jungels,30,48,1,2,2,275,67.61702128,0.020833333,0.041666667,0.041666667,5.729166667,121,1,1,4,299,49.86086957,0.008264463,0.008264463,0.033057851,2.47107438,18,0,0,3,48,26.27777778,0,0,0.166666667,2.666666667,14,0,0,2,511,0,0,0.142857143,36.5,32,1,2,3,448,45,0.03125,0.0625,0.09375,14,6,0.032085561,peloton-guy
3,danny van poppel ,bora - hansgrohe,bora-hansgrohe-2023,netherlands,1.84,82,moergestel,danny-van-poppel,29,81,1,13,37,1397,28.35211268,0.012345679,0.160493827,0.456790123,17.24691358,93,1,2,13,438,84.7875,0.010752688,0.021505376,0.139784946,4.709677419,10,0,0,0,0,97.2,0,0,0,0,10,0,0,0,102,0,0,0,10.2,66,2,9,22,1353,30,0.03030303,0.136363636,0.333333333,20.5,24,0.12972973,sprinter
4,aleksandr  vlasov ,bora - hansgrohe,bora-hansgrohe-2023,russia,1.86,68,vyborg,aleksandr-vlasov,26,31,0,0,1,31,38.4137931,0,0,0.032258065,1,109,2,12,35,1304,20.28431373,0.018348624,0.110091743,0.321100917,11.96330275,13,1,1,4,81,16.92307692,0.076923077,0.076923077,0.307692308,6.230769231,8,1,3,6,1380,0.125,0.375,0.75,172.5,26,1,5,8,780,26.69565217,0.038461538,0.192307692,0.307692308,30,6,0.039215686,climber
5,patrick  konrad ,bora - hansgrohe,bora-hansgrohe-2023,austria,1.74,64,mödling,patrick-konrad,31,41,0,0,1,82,61.475,0,0,0.024390244,2,139,1,6,25,938,34.6124031,0.007194245,0.043165468,0.179856115,6.748201439,19,0,0,1,17,48.73684211,0,0,0.052631579,0.894736842,13,0,1,2,613,0,0.076923077,0.153846154,47.15384615,48,0,0,7,571,37.78947368,0,0,0.145833333,11.89583333,9,0.045226131,climber
6,maximilian  schachmann ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.83,70,berlin,maximilian-schachmann,29,38,1,1,1,59,70.59459459,0.026315789,0.026315789,0.026315789,1.552631579,118,3,14,36,1530,41.24107143,0.025423729,0.118644068,0.305084746,12.96610169,14,1,1,4,82,25.61538462,0.071428571,0.071428571,0.285714286,5.857142857,13,1,1,5,823,0.076923077,0.076923077,0.384615385,63.30769231,25,1,5,12,1114,22.55,0.04,0.2,0.48,44.56,5,0.029411765,climber
7,emanuel  buchmann ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.79,59,ravensburg,emanuel-buchmann,30,45,0,0,0,0,65.8,0,0,0,0,120,1,2,22,537,29.6,0.008333333,0.016666667,0.183333333,4.475,14,0,0,1,11,51.64285714,0,0,0.071428571,0.785714286,13,0,2,7,1292,0,0.153846154,0.538461538,99.38461538,24,0,0,6,250,30.05882353,0,0,0.25,10.41666667,9,0.05027933,climber
8,sergio  higuita ,bora - hansgrohe,bora-hansgrohe-2023,colombia,1.66,57,medellín,sergio-higuita,25,33,0,0,1,32,64.03030303,0,0,0.03030303,0.96969697,127,3,12,41,1275,32.85714286,0.023622047,0.094488189,0.322834646,10.03937008,11,0,0,0,0,34.63636364,0,0,0,0,12,1,3,5,1184,0.083333333,0.25,0.416666667,98.66666667,29,0,2,10,699,27.41666667,0,0.068965517,0.344827586,24.10344828,6,0.035087719,climber
9,jai  hindley ,bora - hansgrohe,bora-hansgrohe-2023,australia,1.75,60,perth,jai-hindley,26,40,0,0,0,0,56.05128205,0,0,0,0,128,2,6,29,654,31.69421488,0.015625,0.046875,0.2265625,5.109375,15,0,0,0,1,50.46666667,0,0,0,0.066666667,12,1,2,5,1172,0.083333333,0.166666667,0.416666667,97.66666667,25,0,0,1,142,38.75,0,0,0.04,5.68,4,0.021857923,climber
10,nils  politt ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.92,80,cologne,nils-politt,29,68,0,1,6,538,62.984375,0,0.014705882,0.088235294,7.911764706,111,2,2,8,625,63.38095238,0.018018018,0.018018018,0.072072072,5.630630631,13,0,1,2,49,42.23076923,0,0.076923077,0.153846154,3.769230769,9,0,0,0,125,0,0,0,13.88888889,63,1,2,9,993,38.81818182,0.015873016,0.031746032,0.142857143,15.76190476,5,0.026041667,peloton-guy
