,race_code,date,start_time,avg_speed_winner,race_category,distance,points_scale,uci_scale,parcours_type,profilescore,vert_meters,departure,arrival,race_ranking,startlist_quality_score,won_how,race_name,year,stage_number,type_race,prestige,time_trial,final_stage,type_win,sprint_type,solo_win
0,great-ocean-race/2019,2019-01-27,01:10:00,41.95,me - men elite,164.0,1.wt.b,uci.wr.c3,hill_flat_finish,114.0,2018.0,geelong,geelong,0,387,sprint of large group,great-ocean-race,2019,0,one-day-race,other-classic,0,0,sprint,large,
1,omloop-het-nieuwsblad/2019,2019-03-02,11:45:00,40.916,me - men elite,200.0,1.wt.b,uci.wr.c3,hill_flat_finish,47.0,1653.0,gent,ninove,0,743,2.5 km solo,omloop-het-nieuwsblad,2019,0,one-day-race,other-classic,0,0,solo,no sprint,2.5
2,strade-bianche/2019,2019-03-09,10:45:00,38.436,me - men elite,184.0,1.wt.b,uci.wr.c3,hill_uphill_finish,151.0,2993.0,siena,siena,0,686,sprint a deux,strade-bianche,2019,0,one-day-race,other-classic,0,0,sprint,a deux,
3,milano-sanremo/2019,2019-03-23,10:10:00,43.625,me - men elite,291.0,1.wt.a,uci.wr.c1,hill_flat_finish,60.0,2060.0,milano,sanremo,0,1137,sprint of small group,milano-sanremo,2019,0,one-day-race,monument,0,0,sprint,small,
4,oxyclean-classic-brugge-de-panne/2019,2019-03-27,11:45:00,43.459,me - men elite,200.3,1.wt.b,uci.wr.c3,flat,5.0,647.0,brugge,de panne,0,461,sprint of large group,oxyclean-classic-brugge-de-panne,2019,0,one-day-race,other-classic,0,0,sprint,large,
5,e3-harelbeke/2019,2019-03-29,12:21:00,42.785,me - men elite,204.0,1.wt.b,uci.wr.c2,hill_flat_finish,79.0,2619.0,harelbeke,harelbeke,0,758,sprint of small group,e3-harelbeke,2019,0,one-day-race,other-classic,0,0,sprint,small,
6,gent-wevelgem/2019,2019-03-31,11:15:00,45.901,me - men elite,249.5,1.wt.b,uci.wr.c1,hill_flat_finish,37.0,1511.0,deinze,wevelgem,0,869,sprint of large group,gent-wevelgem,2019,0,one-day-race,other-classic,0,0,sprint,large,
7,dwars-door-vlaanderen/2019,2019-04-03,12:25:00,44.55,me - men elite,182.6,1.wt.b,uci.wr.c3,hill_flat_finish,47.0,1213.0,roeselare,waregem,0,676,sprint of small group,dwars-door-vlaanderen,2019,0,one-day-race,other-classic,0,0,sprint,small,
8,ronde-van-vlaanderen/2019,2019-04-07,10:45:00,42.29,me - men elite,267.0,1.wt.a,uci.wr.c1,hill_flat_finish,72.0,2164.0,antwerp,oudenaarde,0,880,17 km solo,ronde-van-vlaanderen,2019,0,one-day-race,monument,0,0,solo,no sprint,17.0
9,paris-roubaix/2019,2019-04-14,11:15:00,43.069,me - men elite,257.0,1.wt.a,uci.wr.c1,flat,5.0,1334.0,compiègne,roubaix,0,695,sprint a deux,paris-roubaix,2019,0,one-day-race,monument,0,0,sprint,a deux,
10,amstel-gold-race/2019,2019-04-21,10:35:00,41.056,me - men elite,265.7,1.wt.b,uci.wr.c1,hill_flat_finish,108.0,3536.0,maastricht,berg en terblijt,0,1041,sprint of small group,amstel-gold-race,2019,0,one-day-race,other-classic,0,0,sprint,small,
11,la-fleche-wallone/2019,2019-04-24,11:15:00,39.63,me - men elite,195.0,1.wt.b,uci.wr.c2,hill_uphill_finish,179.0,2930.0,ans,mur de huy,0,1026,sprint a deux,la-fleche-wallone,2019,0,one-day-race,other-classic,0,0,sprint,a deux,
12,liege-bastogne-liege/2019,2019-04-28,10:10:00,38.63,me - men elite,256.0,1.wt.a,uci.wr.c1,hill_flat_finish,158.0,4075.0,liège,liège,0,1103,13 km solo,liege-bastogne-liege,2019,0,one-day-race,monument,0,0,solo,no sprint,13.0
