,fullname,team,team_code,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
0,sam  bennett ,bora - hansgrohe,bora-hansgrohe-2023,1990-10-16,ireland,1.78,73.0,wervik,2543,326,25,5528,1268,51,55,60,154,55,716,59,630,67,1086,12,1307,19,sam-bennett,https://www.procyclingstats.com/rider/sam-bennett
1,bob  jungels ,bora - hansgrohe,bora-hansgrohe-2023,1992-09-22,luxembourg,1.89,70.0,rollingen,1140,2440,2678,332,2486,86,134,25,18,376,546,89,42,758,136,252,593,92,bob-jungels,https://www.procyclingstats.com/rider/bob-jungels
2,danny van poppel ,bora - hansgrohe,bora-hansgrohe-2023,1993-07-26,netherlands,1.84,82.0,moergestel,2624,427,343,4069,878,59,80,18,24,307,754,54,946,28,271,130,332,191,danny-van-poppel,https://www.procyclingstats.com/rider/danny-van-poppel
3,aleksandr  vlasov ,bora - hansgrohe,bora-hansgrohe-2023,1996-04-23,russia,1.86,68.0,vyborg,913,2513,554,81,3118,8,11,11,98,103,1715,5,845,41,1023,13,514,119,aleksandr-vlasov,https://www.procyclingstats.com/rider/aleksandr-vlasov
4,patrick  konrad ,bora - hansgrohe,bora-hansgrohe-2023,1991-10-13,austria,1.74,64.0,mödling,1170,2272,445,282,3274,137,156,3,45,197,385,154,633,66,568,54,608,88,patrick-konrad,https://www.procyclingstats.com/rider/patrick-konrad
5,maximilian  schachmann ,bora - hansgrohe,bora-hansgrohe-2023,1994-01-09,germany,1.83,70.0,berlin,1305,1677,1330,140,2608,257,316,13,22,324,222,260,846,39,923,16,1054,29,maximilian-schachmann,https://www.procyclingstats.com/rider/maximilian-schachmann
6,emanuel  buchmann ,bora - hansgrohe,bora-hansgrohe-2023,1992-11-18,germany,1.79,59.0,ravensburg,746,2803,233,62,2980,147,147,4,123,86,355,169,203,261,147,231,1378,14,emanuel-buchmann,https://www.procyclingstats.com/rider/emanuel-buchmann
7,sergio  higuita ,bora - hansgrohe,bora-hansgrohe-2023,1997-08-01,colombia,1.66,57.0,medellín,913,1727,123,79,2516,15,13,9,156,51,1232,18,506,100,417,75,1022,31,sergio-higuita,https://www.procyclingstats.com/rider/sergio-higuita
8,jai  hindley ,bora - hansgrohe,bora-hansgrohe-2023,1996-05-05,australia,1.75,60.0,perth,259,2132,51,154,2046,19,19,8,94,107,1206,19,161,329,790,25,322,196,jai-hindley,https://www.procyclingstats.com/rider/jai-hindley
9,nils  politt ,bora - hansgrohe,bora-hansgrohe-2023,1994-03-06,germany,1.92,80.0,cologne,1438,850,1087,440,878,174,131,6,60,161,321,188,607,76,101,320,718,71,nils-politt,https://www.procyclingstats.com/rider/nils-politt
10,marco  haller ,bora - hansgrohe,bora-hansgrohe-2023,1991-04-01,austria,1.78,72.0,sankt veit an der glan,983,559,17,781,458,172,140,6,23,313,342,176,216,243,118,290,279,225,marco-haller,https://www.procyclingstats.com/rider/marco-haller
11,lennard  kämna ,bora - hansgrohe,bora-hansgrohe-2023,1996-09-09,germany,1.81,65.0,wedel,245,529,519,46,1448,180,361,7,10,494,460,125,68,581,539,59,187,344,lennard-kamna,https://www.procyclingstats.com/rider/lennard-kamna
12,jordi  meeus ,bora - hansgrohe,bora-hansgrohe-2023,1998-07-01,belgium,1.9,80.0,lommel,973,41,30,838,289,85,71,7,165,47,406,145,522,95,131,257,26,1184,jordi-meeus,https://www.procyclingstats.com/rider/jordi-meeus
13,cesare  benedetti ,bora - hansgrohe,bora-hansgrohe-2023,1987-08-03,poland,1.7,63.0,rovereto,396,443,1,198,354,630,1219,1,0,0,66,614,95,471,46,553,169,372,cesare-benedetti,https://www.procyclingstats.com/rider/cesare-benedetti
14,jonas  koch ,bora - hansgrohe,bora-hansgrohe-2023,1993-06-25,germany,1.87,75.0,schwäbisch hall,497,305,36,380,490,483,786,0,7,576,131,374,100,460,44,579,225,287,jonas-koch,https://www.procyclingstats.com/rider/jonas-koch
15,giovanni  aleotti ,bora - hansgrohe,bora-hansgrohe-2023,1999-05-25,italy,1.8,67.0,mirandola,288,457,73,10,424,204,206,5,47,186,269,224,408,126,13,1058,98,611,giovanni-aleotti,https://www.procyclingstats.com/rider/giovanni-aleotti
16,nico  denz ,bora - hansgrohe,bora-hansgrohe-2023,1994-02-15,germany,1.83,71.0,waldshut-tiengen,375,277,166,184,310,535,762,3,0,0,90,509,75,541,173,193,117,516,nico-denz,https://www.procyclingstats.com/rider/nico-denz
17,ryan  mullen ,bora - hansgrohe,bora-hansgrohe-2023,1994-08-07,ireland,1.89,77.0,birkenhead,241,169,1079,34,46,479,991,9,6,648,101,459,65,599,23,835,82,701,ryan-mullen,https://www.procyclingstats.com/rider/ryan-mullen
18,matteo  fabbro ,bora - hansgrohe,bora-hansgrohe-2023,1995-04-10,italy,1.67,52.0,udine,160,555,74,77,526,640,953,0,3,791,61,643,254,215,133,255,150,416,matteo-fabbro,https://www.procyclingstats.com/rider/matteo-fabbro
19,ide  schelling ,bora - hansgrohe,bora-hansgrohe-2023,1998-02-06,netherlands,1.82,66.0,the hague,425,250,110,50,374,437,576,1,78,128,41,826,488,104,90,342,41,982,ide-schelling,https://www.procyclingstats.com/rider/ide-schelling
20,shane  archbold ,bora - hansgrohe,bora-hansgrohe-2023,1989-02-02,new zealand,1.82,79.0,timaru,296,141,63,594,188,1288,3197,2,11,487,10,1450,46,718,101,318,94,633,shane-archbold,https://www.procyclingstats.com/rider/shane-archbold
21,matthew  walls ,bora - hansgrohe,bora-hansgrohe-2023,1998-04-20,great britain,1.77,72.0,manchester,195,23,43,401,35,1173,2237,2,10,506,11,1436,192,277,0,0,97,617,matthew-walls,https://www.procyclingstats.com/rider/matthew-walls
22,ben  zwiehoff ,bora - hansgrohe,bora-hansgrohe-2023,1994-02-22,germany,1.82,61.0,essen,83,195,3,3,117,308,445,0,132,74,92,499,58,631,0,0,0,0,ben-zwiehoff,https://www.procyclingstats.com/rider/ben-zwiehoff
23,cian  uijtdebroeks ,bora - hansgrohe,bora-hansgrohe-2023,2003-02-28,belgium,1.85,68.0,none,41,186,44,0,228,244,204,0,65,150,195,289,0,0,0,0,0,0,cian-uijtdebroeks,https://www.procyclingstats.com/rider/cian-uijtdebroeks
24,patrick  gamper ,bora - hansgrohe,bora-hansgrohe-2023,1997-02-18,austria,1.94,86.0,wien,132,45,112,93,32,679,731,0,6,647,64,629,75,542,18,914,78,723,patrick-gamper,https://www.procyclingstats.com/rider/patrick-gamper
25,frederik  wandahl ,bora - hansgrohe,bora-hansgrohe-2023,2001-05-09,denmark,1.78,61.0,stockholm,80,89,1,6,73,376,477,0,33,251,121,400,20,1043,0,0,0,0,frederik-wandahl,https://www.procyclingstats.com/rider/frederik-wandahl
26,victor  koretzky ,bora - hansgrohe,bora-hansgrohe-2023,1994-08-26,france,1.8,69.0,béziers,25,33,0,2,54,643,979,0,0,0,64,627,0,0,0,0,0,0,victor-koretzky,https://www.procyclingstats.com/rider/victor-koretzky
27,anton  palzer ,bora - hansgrohe,bora-hansgrohe-2023,1993-03-11,germany,1.78,62.0,berchtesgaden,0,45,0,0,1,1231,1474,0,0,0,20,1159,25,958,0,0,0,0,anton-palzer,https://www.procyclingstats.com/rider/anton-palzer
28,florian  lipowitz ,bora - hansgrohe,bora-hansgrohe-2023,2000-09-21,germany,1.81,68.0,none,0,30,0,3,31,2315,2325,0,0,0,1,2199,30,877,2,1576,0,0,florian-lipowitz,https://www.procyclingstats.com/rider/florian-lipowitz
29,luis-joe  lührs ,bora - hansgrohe,bora-hansgrohe-2023,2003-01-20,germany,1.79,66.0,münchen,16,5,20,4,3,1818,2198,0,5,743,17,1245,0,0,0,0,0,0,luis-joe-luhrs,https://www.procyclingstats.com/rider/luis-joe-luhrs
30,ion  izagirre ,cofidis,cofidis-2023,1989-02-04,spain,1.73,60.0,ormaiztegi,1315,5024,2913,170,4892,97,83,16,7,608,544,93,792,47,329,108,933,41,ion-izagirre,https://www.procyclingstats.com/rider/ion-izagirre
31,bryan  coquard ,cofidis,cofidis-2023,1992-04-25,france,1.71,59.0,saint-nazaire,2659,1092,289,5029,1324,77,91,49,142,66,578,77,480,105,322,113,823,58,bryan-coquard,https://www.procyclingstats.com/rider/bryan-coquard
32,guillaume  martin ,cofidis,cofidis-2023,1993-06-09,france,1.73,55.0,paris,1640,2934,6,73,3782,49,58,9,47,189,1005,28,875,36,1165,6,1009,32,guillaume-martin,https://www.procyclingstats.com/rider/guillaume-martin
33,jesús  herrada ,cofidis,cofidis-2023,1990-07-26,spain,1.83,70.0,mota del cuervo,1691,2137,856,486,2640,62,60,19,182,35,589,75,522,94,361,96,831,56,jesus-herrada-lopez,https://www.procyclingstats.com/rider/jesus-herrada-lopez
34,simon  geschke ,cofidis,cofidis-2023,1986-03-13,germany,1.71,64.0,berlin,1529,1352,658,634,2174,176,120,3,23,314,348,174,129,381,484,66,148,426,simon-geschke,https://www.procyclingstats.com/rider/simon-geschke
35,davide  cimolai ,cofidis,cofidis-2023,1989-08-13,italy,1.82,70.0,pordenone,968,525,6,1319,1112,500,0,9,5,672,92,497,224,236,101,319,577,97,davide-cimolai,https://www.procyclingstats.com/rider/davide-cimolai
36,max  walscheid ,cofidis,cofidis-2023,1993-06-13,germany,1.99,90.0,neuwied,1263,221,670,2069,236,107,73,12,50,180,462,123,388,133,247,139,459,134,max-walscheid,https://www.procyclingstats.com/rider/max-walscheid
37,simone  consonni ,cofidis,cofidis-2023,1994-09-12,italy,1.65,60.0,ponte san pietro,1350,273,25,1142,850,79,76,3,45,194,617,70,278,201,180,185,382,166,simone-consonni,https://www.procyclingstats.com/rider/simone-consonni
38,josé  herrada ,cofidis,cofidis-2023,1985-10-01,spain,1.75,65.0,mota del cuervo,565,1089,326,311,1050,789,1158,2,0,0,53,708,42,757,67,439,152,412,jose-herrada,https://www.procyclingstats.com/rider/jose-herrada
39,jelle  wallays ,cofidis,cofidis-2023,1989-05-11,belgium,1.85,77.0,roeselare,1147,577,157,1008,118,1390,2268,8,5,669,8,1582,59,622,18,917,167,375,jelle-wallays,https://www.procyclingstats.com/rider/jelle-wallays
40,rubén  fernández ,cofidis,cofidis-2023,1991-03-01,spain,1.77,60.0,murcia,234,1317,135,138,856,386,439,0,24,296,157,334,208,253,137,250,77,733,ruben-fernandez,https://www.procyclingstats.com/rider/ruben-fernandez
41,pierre-luc  périchon ,cofidis,cofidis-2023,1987-01-04,france,1.82,69.0,bourg-en-bresse,711,648,194,386,480,540,1050,2,24,301,65,621,280,198,67,437,155,408,pierre-luc-perichon,https://www.procyclingstats.com/rider/pierre-luc-perichon
42,benjamin  thomas ,cofidis,cofidis-2023,1995-09-12,france,1.79,68.0,lavaur,258,786,923,196,679,78,87,8,16,396,736,56,121,398,62,454,88,663,benjamin-thomas-2,https://www.procyclingstats.com/rider/benjamin-thomas-2
43,piet  allegaert ,cofidis,cofidis-2023,1995-01-20,belgium,1.81,70.0,moorslede,1146,96,140,730,318,103,103,1,106,99,426,139,415,124,112,299,243,266,piet-allegaert,https://www.procyclingstats.com/rider/piet-allegaert
44,jonathan  lastra ,cofidis,cofidis-2023,1993-06-03,spain,1.72,64.0,bilbao,354,673,11,118,850,235,269,0,5,728,281,215,333,157,32,694,242,267,jonathan-lastra,https://www.procyclingstats.com/rider/jonathan-lastra
45,anthony  perez ,cofidis,cofidis-2023,1991-04-22,france,1.9,70.0,toulouse,424,451,223,54,511,189,182,5,165,46,176,309,139,356,49,535,174,362,anthony-perez,https://www.procyclingstats.com/rider/anthony-perez
46,wesley  kreder ,cofidis,cofidis-2023,1990-11-04,netherlands,1.83,71.0,leiden,725,124,30,702,13,745,2977,2,0,0,50,720,67,591,1,1661,19,1350,wesley-kreder,https://www.procyclingstats.com/rider/wesley-kreder
47,axel  zingle ,cofidis,cofidis-2023,1998-12-18,france,1.73,67.0,mulhouse,673,112,73,150,336,58,50,3,126,78,615,71,128,384,16,969,0,0,axel-zingle,https://www.procyclingstats.com/rider/axel-zingle
48,christophe  noppe ,cofidis,cofidis-2023,1994-11-29,belgium,1.76,73.0,oudenaarde,748,13,54,784,59,491,497,0,10,507,89,514,137,361,45,568,285,221,christophe-noppe,https://www.procyclingstats.com/rider/christophe-noppe
49,victor  lafay ,cofidis,cofidis-2023,1996-01-17,france,1.77,65.0,lyon,229,335,13,16,538,198,185,2,73,136,299,202,295,180,45,570,0,0,victor-lafay,https://www.procyclingstats.com/rider/victor-lafay
50,rémy  rochas ,cofidis,cofidis-2023,1996-05-18,france,1.64,51.0,la motte-servolex,179,361,65,26,344,341,376,0,5,692,168,317,248,223,58,474,39,1010,remy-rochas,https://www.procyclingstats.com/rider/remy-rochas
51,françois  bidard ,cofidis,cofidis-2023,1992-03-19,france,1.8,65.0,lonlay-l'abbaye,95,290,6,30,332,1269,1798,0,5,748,11,1430,12,1305,27,760,172,366,francois-bidard,https://www.procyclingstats.com/rider/francois-bidard
52,alexis  renard ,cofidis,cofidis-2023,1999-06-01,france,1.86,75.0,saint-brieuc,128,157,11,188,43,696,940,0,10,528,64,625,250,221,28,750,0,0,alexis-renard,https://www.procyclingstats.com/rider/alexis-renard
53,alexandre  delettre ,cofidis,cofidis-2023,1997-10-25,france,1.7,62.0,gonesse,125,56,0,1,83,774,1075,0,0,0,47,757,111,431,0,0,35,1049,alexandre-delettre,https://www.procyclingstats.com/rider/alexandre-delettre
