team_name,team_code_2023
bora - hansgrohe,bora-hansgrohe-2023
cofidis,cofidis-2023
"cofidis, solutions crédits",cofidis-2023
ef education-easypost,ef-education-easypost-2023
ef education - nippo,ef-education-easypost-2023
ef pro cycling,ef-education-easypost-2023
ef education first,ef-education-easypost-2023
groupama - fdj,groupama-fdj-2023
ineos grenadiers,ineos-grenadiers-2023
team ineos,ineos-grenadiers-2023
team sky,ineos-grenadiers-2023
intermarché - wanty - gobert matériaux,intermarche-circus-wanty-2023
circus - wanty gobert,intermarche-circus-wanty-2023
wanty - gobert cycling team,intermarche-circus-wanty-2023
jumbo-visma,team-jumbo-visma-2023
team jumbo-visma,team-jumbo-visma-2023
movistar team,movistar-team-2023
quick-step alpha vinyl team,soudal-quick-step-2023
deceuninck - quick step,soudal-quick-step-2023
team arkéa samsic,team-arkea-samsic-2023
team bikeexchange - jayco,team-jayco-alula-2023
team bikeexchange,team-jayco-alula-2023
mitchelton-scott,team-jayco-alula-2023
team dsm,team-dsm-2023
team sunweb,team-dsm-2023
trek - segafredo,trek-segafredo-2023
ag2r citroën team,ag2r-citroen-team-2023
ag2r la mondiale,ag2r-citroen-team-2023
uae team emirates,uae-team-emirates-2023
alpecin-deceuninck,alpecin-deceuninck-2023
alpecin-fenix,alpecin-deceuninck-2023
corendon - circus,alpecin-deceuninck-2023
astana qazaqstan team,astana-qazaqstan-team-2023
astana - premier tech,astana-qazaqstan-team-2023
astana pro team,astana-qazaqstan-team-2023
bahrain - victorious,bahrain-victorious-2023
bahrain - mclaren,bahrain-victorious-2023
bahrain merida,bahrain-victorious-2023
bingoal pauwels sauces wb,bingoal-wb-2023
bingoal - wallonie bruxelles,bingoal-wb-2023
wallonie-bruxelles,bingoal-wb-2023
bolton equities black spoke pro cycling,bolton-equities-black-spoke-2023
black spoke pro cycling academy,bolton-equities-black-spoke-2023
burgos-bh,burgos-bh-2023
caja rural - seguros rga,caja-rural-seguros-rga-2023
eolo-kometa,eolo-kometa-2023
kometa xstra cycling team,eolo-kometa-2023
kometa cycling team,eolo-kometa-2023
equipo kern pharma,equipo-kern-pharma-2023
euskaltel - euskadi,euskaltel-euskadi-2023
fundación euskadi,euskaltel-euskadi-2023
bardiani-csf-faizanè,green-project-bardiani-csf-faizane-2023
bardiani - csf,green-project-bardiani-csf-faizane-2023
human powered health,human-powered-health-2023
rally cycling,human-powered-health-2023
rally uhc cycling,human-powered-health-2023
israel - premier tech,israel-premier-tech-2023
israel start-up nation,israel-premier-tech-2023
israel cycling academy,israel-premier-tech-2023
lotto soudal,lotto-dstny-2023
team corratec,team-corratec-2023
sport vlaanderen - baloise,team-flanders--baloise-2023
team novo nordisk,team-novo-nordisk-2023
totalenergies,team-totalenergies-2023
team total direct energie,team-totalenergies-2023
direct energie,team-totalenergies-2023
tudor pro cycling team,tudor-pro-cycling-team-2023
swiss racing academy,tudor-pro-cycling-team-2023
uno-x pro cycling team,uno-x-pro-cycling-team-2023
uno-x norwegian development team,uno-x-pro-cycling-team-2023
team qhubeka nexthash,q365-pro-cycing-team
team qhubeka assos,q365-pro-cycing-team
ntt pro cycling,q365-pro-cycing-team
team dimension data,q365-pro-cycing-team
intermarche - circus - wanty,intermarche-circus-wanty-2023
intermarché - circus - wanty,intermarche-circus-wanty-2023
team jumbo visma,team-jumbo-visma-2023
soudal - quick step,soudal-quick-step-2023
team arkea samsic,team-arkea-samsic-2023
team jayco alula,team-jayco-alula-2023
ag2r citroen team,ag2r-citroen-team-2023
bingoal wb,bingoal-wb-2023
bolton equities black spoke,bolton-equities-black-spoke-2023
green project bardiani csf-faizane,green-project-bardiani-csf-faizane-2023
lotto dstny,lotto-dstny-2023
team flanders - baloise,team-flanders--baloise-2023
team totalenergies,team-totalenergies-2023
q36.5 pro cycing team,q365-pro-cycing-team
