,team_historical_code,team_code_2023,archive_url,team_name,wins,points,pcs_ranking
0,bora-hansgrohe-2022,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2022,bora - hansgrohe,30,9936,4
1,bora-hansgrohe-2021,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2021,bora - hansgrohe,30,7761,6
2,bora-hansgrohe-2020,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2020,bora - hansgrohe,21,6557,6
3,bora-hansgrohe-2019,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2019,bora - hansgrohe,47,12501,2
4,cofidis-2022,cofidis-2023,https://www.procyclingstats.com/team/cofidis-2022,cofidis,19,7626,11
5,cofidis-2021,cofidis-2023,https://www.procyclingstats.com/team/cofidis-2021,cofidis,12,5895,14
6,cofidis-2020,cofidis-2023,https://www.procyclingstats.com/team/cofidis-2020,cofidis,2,3568,19
7,cofidis-solutions-credits-2019,cofidis-2023,https://www.procyclingstats.com/team/cofidis-solutions-credits-2019,"cofidis, solutions crédits",20,4795,18
8,ef-education-easypost-2022,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-easypost-2022,ef education-easypost,9,5973,16
9,ef-education-nippo-2021,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-nippo-2021,ef education - nippo,16,4776,18
10,ef-pro-cycling-2020,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-pro-cycling-2020,ef pro cycling,17,5095,10
11,ef-education-first-2019,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-first-2019,ef education first,17,7942,9
12,groupama-fdj-2022,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2022,groupama - fdj,20,8648,9
13,groupama-fdj-2021,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2021,groupama - fdj,23,5904,13
14,groupama-fdj-2020,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2020,groupama - fdj,20,4822,11
15,groupama-fdj-2019,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2019,groupama - fdj,25,6539,14
16,ineos-grenadiers-2022,ineos-grenadiers-2023,https://www.procyclingstats.com/team/ineos-grenadiers-2022,ineos grenadiers,39,12628,1
17,ineos-grenadiers-2021,ineos-grenadiers-2023,https://www.procyclingstats.com/team/ineos-grenadiers-2021,ineos grenadiers,35,11109,2
18,ineos-grenadiers-2020,ineos-grenadiers-2023,https://www.procyclingstats.com/team/ineos-grenadiers-2020,ineos grenadiers,19,6423,5
19,team-ineos-2019,ineos-grenadiers-2023,https://www.procyclingstats.com/team/team-ineos-2019,team ineos,26,10838,4
20,intermarche-wanty-gobert-materiaux-2022,intermarche-circus-wanty-2023,https://www.procyclingstats.com/team/intermarche-wanty-gobert-materiaux-2022,intermarché - wanty - gobert matériaux,24,9761,6
