,team_name,circuit,country,team_code,team_url_pcs,gear_info_url,bike,groupset,wheels,saddle,tyres,pedals,powermeter,sunglasses,helmets,shoes,bartape,kit,sports_nutrition,cycling_computer,hometrainer
0,bora - hansgrohe,worldteams,germany,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2023/more/gear,specializedspecialized,shimano,roval,specialized,,,,100%,specialized,,,le colroeckl,,wahoo,
1,cofidis,worldteams,france,cofidis-2023,https://www.procyclingstats.com/team/cofidis-2023,https://www.procyclingstats.com/team/cofidis-2023/more/gear,look,shimano,corima,selle italia,michelin,,,ekoï,ekoï,,,van rysel,,wahoo,
2,ef education-easypost,worldteams,usa,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-easypost-2023/more/gear,cannondale,shimano,vision,prologo,vittoria,,,poc,poc,,,rapha,,wahoo,wahoo
3,groupama - fdj,worldteams,france,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2023/more/gear,lapierre,shimano,shimano,prologo,continental,,,julbo,giro,,,alé,apurna,garmin,
4,ineos grenadiers,worldteams,united kingdom,ineos-grenadiers-2023,https://www.procyclingstats.com/team/ineos-grenadiers-2023,https://www.procyclingstats.com/team/ineos-grenadiers-2023/more/gear,pinarello,shimano,shimano,fizik,continental,,,sungod,kask,,,bioracer,sis,garmin,
5,intermarche - circus - wanty,worldteams,belgium,intermarche-circus-wanty-2023,https://www.procyclingstats.com/team/intermarche-circus-wanty-2023,https://www.procyclingstats.com/team/intermarche-circus-wanty-2023/more/gear,cube,shimano,shimanonewmen,prologo,continentalcontinental,,,uvex sports,uvex sports,gaerne,prologo,nalini,,bryton,bryton
6,team jumbo visma,worldteams,netherlands,team-jumbo-visma-2023,https://www.procyclingstats.com/team/team-jumbo-visma-2023,https://www.procyclingstats.com/team/team-jumbo-visma-2023/more/gear,cervélo,sram,reserve wheels,fizik,vittoria,speedplay,,oakley,lazer,nimbl,fsa,agu,amacx,garmin,
7,movistar team,worldteams,spain,movistar-team-2023,https://www.procyclingstats.com/team/movistar-team-2023,https://www.procyclingstats.com/team/movistar-team-2023/more/gear,canyon,sram,zippzipp,fizik,continentalcontinental,look,quarq,100%,abus,fizik,lizard skins,gobik,226ers,garmin,elite
8,soudal - quick step,worldteams,belgium,soudal-quick-step-2023,https://www.procyclingstats.com/team/soudal-quick-step-2023,https://www.procyclingstats.com/team/soudal-quick-step-2023/more/gear,specialized,shimano,roval,specialized,specialized,shimano,shimano,oakley,specialized,specialized,supacaz,castelli,6d sports nutrition,garmin,tacx
9,team arkea samsic,worldteams,france,team-arkea-samsic-2023,https://www.procyclingstats.com/team/team-arkea-samsic-2023,https://www.procyclingstats.com/team/team-arkea-samsic-2023/more/gear,bianchi,shimano,shimano,selle italia,continental,,,ekoï,ekoï,,,jinga,,wahoo,
10,team jayco alula,worldteams,australia,team-jayco-alula-2023,https://www.procyclingstats.com/team/team-jayco-alula-2023,https://www.procyclingstats.com/team/team-jayco-alula-2023/more/gear,giant,shimano,cadex,giant,cadex,shimano,shimano,scicon,giant,,giant,alé,,garmin,
