,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,great-ocean-race/2020,02 February 2020,11:10  (01:10 CET),41.76 km/h,ME - Men Elite,171.1 km,1.WT.B,UCI.WR.C3,p2,79,1531,Geelong,Geelong,55,381,Sprint a deux,
1,omloop-het-nieuwsblad/2020,29 February 2020,11:43,39.55 km/h,ME - Men Elite,200 km,1.WT.B,UCI.WR.C3,p2,49,1663,Ghent,Ninove,27,713,Sprint a deux,
2,strade-bianche/2020,01 August 2020,13:45,36.93 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C3,p3,159,3073,Siena,Siena,6,824,12.5 km solo,
3,milano-sanremo/2020,08 August 2020,11:00,41.96 km/h,ME - Men Elite,305 km,1.WT.A,UCI.WR.C1,p2,68,2803,Milano,Sanremo,4,982,Sprint a deux,
4,il-lombardia/2020,15 August 2020,12:25,41.63 km/h,ME - Men Elite,231 km,1.WT.A,UCI.WR.C1,p2,260,3975,Bergamo,Como,18,651,6.3 km solo,
5,bretagne-classic/2020,25 August 2020,09:45,41.15 km/h,ME - Men Elite,247.75 km,1.WT.B,UCI.WR.C2,p2,76,2881,Plouay,Plouay,40,331,Sprint of small group,
6,la-fleche-wallone/2020,30 September 2020,11:30,41.9 km/h,ME - Men Elite,202 km,1.WT.B,UCI.WR.C2,p3,167,3124,Herve,Mur de Huy,17,599,Sprint of small group,
7,liege-bastogne-liege/2020,04 October 2020,10:25,39.33 km/h,ME - Men Elite,257 km,1.WT.A,UCI.WR.C1,p2,182,4353,Liège,Liège,6,865,Sprint of small group,
8,gent-wevelgem/2020,11 October 2020,10:18,43.68 km/h,ME - Men Elite,232.5 km,1.WT.B,UCI.WR.C1,p1,33,1360,Ypres,Wevelgem,12,703,Sprint of small group,
9,ronde-van-vlaanderen/2020,18 October 2020,10:03  (11:03 CET),42.52 km/h,ME - Men Elite,243.3 km,1.WT.A,UCI.WR.C1,p1,79,2014,Antwerpen,Oudenaarde,8,806,Sprint a deux,
10,oxyclean-classic-brugge-de-panne/2020,21 October 2020,11:20,47.71 km/h,ME - Men Elite,188.6 km,1.WT.B,UCI.WR.C3,p1,0,249,Brugge,De Panne,24,557,4 km solo,
11,world-championship-itt/2020,25 September 2020,14:30,52.98 km/h,ME - Men Elite,31.7 km,Worlds.TT,UCI.WR.WO.TT - TM2022,p1,7,167,Imola,Imola,59,233,Time Trial,
12,world-championship/2020,27 September 2020,09:55,38.87 km/h,ME - Men Elite,258.2 km,Worlds.RR,UCI.WR.WO - TM2022,p2,208,4662,Imola,Imola,2,1233,12 km solo,
13,clasica-de-almeria/2020,16 February 2020,13:30,42.63 km/h,ME - Men Elite,187.6 km,1.PRO,UCI.WR.Pro,p2,27,1681,Roquetas de Mar,Roquetas de Mar,56,386,Sprint of large group,
14,trofeo-laigueglia/2020,16 February 2020,11:00,39.04 km/h,ME - Men Elite,202 km,1.PRO,UCI.WR.Pro,p2,151,2973,Laigueglia,Laigueglia,169,96,10.3 km solo,
15,faun-ardeche-classic/2020,29 February 2020,11:05,35.33 km/h,ME - Men Elite,184.4 km,1.PRO,UCI.WR.Pro,p2,196,3471,Guilherand-Granges,Guilherand-Granges,66,303,47.3 km solo,
16,kuurne-brussel-kuurne/2020,01 March 2020,11:48,41.98 km/h,ME - Men Elite,201 km,1.PRO,UCI.WR.Pro,p0,38,1728,Kuurne,Kuurne,32,659,9.8 km solo,
17,la-drome-classic/2020,01 March 2020,11:10,38.4 km/h,ME - Men Elite,203 km,1.PRO,UCI.WR.Pro,p2,137,2612,Livron-sur-Drôme,Livron-sur-Drôme,63,319,Sprint of small group,
18,gran-trittico-lombardo/2020,03 August 2020,12:00  (14:00 CET),42.64 km/h,ME - Men Elite,199.7 km,1.PRO,UCI.WR.Pro,p0,93,1792,Legnano,Varese,58,252,11.1 km solo,
19,milano-torino/2020,05 August 2020,13:55  (14:55 CET),45.88 km/h,ME - Men Elite,198 km,1.PRO,UCI.WR.Pro,p1,11,931,Mesero,Stupinigi,27,490,Sprint of large group,
