,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,tour-down-under/2023/stage-1,18 January 2023,11:33  (02:03 CET),41.336 km/h,ME - Men Elite,149.9 km,2.WT.Stage,UCI.WR.C1.Stage,p2,44,1715,Tanunda,Tanunda,40,482,Sprint of large group,
1,uae-tour/2023/stage-1,20 February 2023,13:00  (10:00 CET),45.854 km/h,ME - Men Elite,151 km,2.WT.Stage,UCI.WR.C3.Stage,p1,2,518,Al Dhafra Castle,Al Mirfa,35,530,Sprint of small group,21 °C
2,tour-down-under/2023/stage-2,19 January 2023,11:44  (02:14 CET),38.593 km/h,ME - Men Elite,154.8 km,2.WT.Stage,UCI.WR.C1.Stage,p2,72,1945,Brighton,Victor Harbor,40,482,0.5 km solo,
3,uae-tour/2023/stage-2,21 February 2023,13:35  (10:35 CET),56.77 km/h,ME - Men Elite,17.3 km,2.WT.Stage,UCI.WR.C3.Stage,p1,0,5,Khalifa Port,Khalifa Port,35,530,? - let us know!,23 °C
4,tour-down-under/2023/stage-3,20 January 2023,11:40  (02:10 CET),41.673 km/h,ME - Men Elite,116.8 km,2.WT.Stage,UCI.WR.C1.Stage,p2,107,1831,Norwood,Campbelltown,40,482,Sprint of small group,
5,uae-tour/2023/stage-3,22 February 2023,11:45  (08:45 CET),38.092 km/h,ME - Men Elite,185 km,2.WT.Stage,UCI.WR.C3.Stage,p5,190,2741,Umbrella Beach Al Fujairah,Jebel Jais,35,530,10.2 km solo,24 °C
6,tour-down-under/2023/stage-4,21 January 2023,11:32  (02:02 CET),46.015 km/h,ME - Men Elite,133.2 km,2.WT.Stage,UCI.WR.C1.Stage,p3,21,1103,Port Willunga,Willunga Township,40,482,Sprint of large group,
7,uae-tour/2023/stage-4,23 February 2023,12:30  (09:30 CET),45.388 km/h,ME - Men Elite,174 km,2.WT.Stage,UCI.WR.C3.Stage,p1,0,304,Al Shindagha,Dubai Harbour,35,530,Sprint of large group,29 °C
8,tour-down-under/2023/stage-5,22 January 2023,11:47  (02:17 CET),41.856 km/h,ME - Men Elite,112.5 km,2.WT.Stage,UCI.WR.C1.Stage,p3,110,2224,Unley,Mount Lofty,40,482,Sprint a deux,
9,uae-tour/2023/stage-5,24 February 2023,12:35  (09:35 CET),43.017 km/h,ME - Men Elite,170 km,2.WT.Stage,UCI.WR.C3.Stage,p1,3,522,Al Marjan Island,Umm al Quwain,35,530,Sprint of large group,29 °C
10,uae-tour/2023/stage-6,25 February 2023,12:40  (09:40 CET),45.027 km/h,ME - Men Elite,166 km,2.WT.Stage,UCI.WR.C3.Stage,p1,0,146,Warner Bros. World Abu Dhabi,Abu Dhabi Breakwater,35,530,Sprint of large group,32 °C
11,uae-tour/2023/stage-7,26 February 2023,12:45  (09:45 CET),43.777 km/h,ME - Men Elite,153 km,2.WT.Stage,UCI.WR.C3.Stage,p5,144,1378,Hazza Bin Zayed Stadium,Jebel Hafeet,35,530,3 km solo,32 °C
