,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,tour-de-france/2019/stage-1,06 July 2019,12:25  (14:25 CET),44.409 km/h,ME - Men Elite,194.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p3,20,1582,Brussels,Brussels,0,1694,Sprint of large group,
1,tour-de-france/2019/stage-2,07 July 2019,14:30  (16:30 CET),53.94 km/h,ME - Men Elite,27.6 km,GT.A.TTT,,p1,7,267,Brussels,Brussels,0,1694,Time Trial,
2,tour-de-france/2019/stage-3,08 July 2019,12:20  (14:20 CET),45.992 km/h,ME - Men Elite,215 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p3,97,2299,Binche,Épernay,0,1694,16 km solo,
3,tour-de-france/2019/stage-4,09 July 2019,12:25  (14:25 CET),41.412 km/h,ME - Men Elite,213.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,32,1555,Reims,Nancy,0,1694,Sprint of large group,
4,tour-de-france/2019/stage-5,10 July 2019,13:25  (15:25 CET),43.41 km/h,ME - Men Elite,175.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,132,2325,Saint-Dié-des-Vosges,Colmar,0,1694,Sprint of large group,
5,tour-de-france/2019/stage-6,11 July 2019,13:25  (15:25 CET),35.793 km/h,ME - Men Elite,160.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p5,329,3944,Mulhouse,La Planche des Belles Filles,0,1694,0.1 km solo,
6,tour-de-france/2019/stage-7,12 July 2019,11:35  (13:35 CET),38.044 km/h,ME - Men Elite,230 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,36,2367,Belfort,Chalon-sur-Saône,0,1694,Sprint of large group,
7,tour-de-france/2019/stage-8,13 July 2019,12:25  (14:25 CET),39.962 km/h,ME - Men Elite,200 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,189,3844,Mâcon,Saint-Étienne,0,1694,14.1 km solo,
8,tour-de-france/2019/stage-9,14 July 2019,13:25  (15:25 CET),42.064 km/h,ME - Men Elite,170.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,114,2717,Saint-Étienne,Brioude,0,1694,Sprint a deux,
9,tour-de-france/2019/stage-10,15 July 2019,12:25  (14:25 CET),45.054 km/h,ME - Men Elite,217.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,85,3031,Saint-Flour,Albi,0,1694,Sprint of large group,
10,tour-de-france/2019/stage-11,17 July 2019,13:45  (15:45 CET),43.3 km/h,ME - Men Elite,167 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,43,1827,Albi,Toulouse,0,1694,Sprint of large group,
11,tour-de-france/2019/stage-12,18 July 2019,11:50  (13:50 CET),42.198 km/h,ME - Men Elite,209.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p4,177,3088,Toulouse,Bagnères-de-Bigorre,0,1694,Sprint of small group,
12,tour-de-france/2019/stage-13,19 July 2019,14:00  (16:00 CET),46.629 km/h,ME - Men Elite,27.2 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p1,33,391,Pau,Pau,0,1694,Time Trial,
13,tour-de-france/2019/stage-14,20 July 2019,13:45  (15:45 CET),34.991 km/h,ME - Men Elite,111 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p5,359,3376,Tarbes,Col du Tourmalet,0,1694,0.2 km solo,
14,tour-de-france/2019/stage-15,21 July 2019,12:10  (14:10 CET),38.667 km/h,ME - Men Elite,185 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p5,365,4345,Limoux,Foix,0,1694,9 km solo,
15,tour-de-france/2019/stage-16,23 July 2019,13:30  (15:30 CET),44.785 km/h,ME - Men Elite,177 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,29,1626,Nîmes,Nîmes,0,1694,Sprint of large group,
16,tour-de-france/2019/stage-17,24 July 2019,12:40  (14:40 CET),45.872 km/h,ME - Men Elite,200 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,85,2472,Pont du Gard,Gap,0,1694,14 km solo,
17,tour-de-france/2019/stage-18,25 July 2019,11:25  (13:25 CET),37.337 km/h,ME - Men Elite,208 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p4,232,5215,Embrun,Valloire,0,1694,26 km solo,
18,tour-de-france/2019/stage-19,26 July 2019,13:55  (15:55 CET),33.27 km/h,ME - Men Elite,89 km,GT.A.Stage,UCI.GT.A.Stage,p5,317,2995,Saint-Jean-de-Maurienne,Tignes,0,1694,? - let us know!,
19,tour-de-france/2019/stage-20,27 July 2019,14:30  (16:30 CET),31.908 km/h,ME - Men Elite,59.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p5,267,2228,Albertville,Val Thorens,0,1694,12 km solo,
20,tour-de-france/2019/stage-21,28 July 2019,18:10  (20:10 CET),41.709 km/h,ME - Men Elite,128 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p1,10,781,Rambouillet,Paris,0,1694,Sprint of large group,
21,tour-de-france/2020/stage-1,29 August 2020,14:15,41.35 km/h,ME - Men Elite,156 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,46,1597,Nice,Nice,1,1554,Sprint of large group,
22,tour-de-france/2020/stage-2,30 August 2020,13:20,37.57 km/h,ME - Men Elite,185 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p4,188,4066,Nice,Nice,1,1554,Sprint of small group,
23,tour-de-france/2020/stage-3,31 August 2020,12:20,37.39 km/h,ME - Men Elite,198 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,81,3003,Nice,Sisteron,1,1554,Sprint of large group,
24,tour-de-france/2020/stage-4,01 September 2020,13:30,38.86 km/h,ME - Men Elite,160.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p5,200,3200,Sisteron,Orcières-Merlette,1,1554,Sprint of small group,
25,tour-de-france/2020/stage-5,02 September 2020,13:20,42.01 km/h,ME - Men Elite,183 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p1,31,1388,Gap,Privas,1,1554,Sprint of large group,
26,tour-de-france/2020/stage-6,03 September 2020,12:10,42.04 km/h,ME - Men Elite,191 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p5,227,3087,Le Teil,Mont Aigoual,1,1554,17 km solo,
27,tour-de-france/2020/stage-7,04 September 2020,13:35,47.54 km/h,ME - Men Elite,168 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p2,47,2011,Millau,Lavaur,1,1554,Sprint of large group,
28,tour-de-france/2020/stage-8,05 September 2020,13:35,34.93 km/h,ME - Men Elite,141 km,,,p4,295,3821,Cazères,Loudenvielle,1,1554,35 km solo,
29,tour-de-france/2020/stage-9,06 September 2020,12:35,39.02 km/h,ME - Men Elite,153 km,,,p4,239,3500,Pau,Laruns,1,1554,Sprint of small group,
30,tour-de-france/2020/stage-10,08 September 2020,-,46.94 km/h,ME - Men Elite,168.5 km,GT.A.Stage,UCI.WR.GT.A.Stage - TM2022,p1,2,531,île d'Oléron (Le Château-d'Oléron),Île de Ré (Saint-Martin-de-Ré),1,1554,Sprint of large group,
