,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,vuelta-a-espana/2019/stage-1,24 August 2019,18:56  (20:56 CET),51.43 km/h,ME - Men Elite,13.4 km,GT.B.TTT,UCI.GT.B.Stage,p1,2,107,Salinas de Torrevieja,Torrevieja,0,812,Time Trial,
1,vuelta-a-espana/2019/stage-2,25 August 2019,12:20  (14:20 CET),38.473 km/h,ME - Men Elite,199.6 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p4,113,3238,Benidorm,Calpe,0,812,3 km solo,
2,vuelta-a-espana/2019/stage-3,26 August 2019,12:56  (14:56 CET),42.561 km/h,ME - Men Elite,188 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p2,65,1730,Ibi. Ciudad del Juguete,Alicante,0,812,Sprint of large group,
3,vuelta-a-espana/2019/stage-4,27 August 2019,13:19  (15:19 CET),43.109 km/h,ME - Men Elite,175.5 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p2,27,1233,Cullera,El Puig,0,812,Sprint of large group,
4,vuelta-a-espana/2019/stage-5,28 August 2019,12:51  (14:51 CET),34.31 km/h,ME - Men Elite,170.7 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p5,270,3764,L’Eliana,Observatorio Astrofísico de Javalambre,0,812,0.5 km solo,
5,vuelta-a-espana/2019/stage-6,29 August 2019,12:04  (14:04 CET),42.033 km/h,ME - Men Elite,198.9 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p3,151,3294,Mora de Rubielos,Ares del Maestrat,0,812,0.4 km solo,
6,vuelta-a-espana/2019/stage-7,30 August 2019,12:30  (14:30 CET),40.09 km/h,ME - Men Elite,183.2 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p5,242,2842,Onda,Mas de la Costa,0,812,Sprint a deux,
7,vuelta-a-espana/2019/stage-8,31 August 2019,13:12  (15:12 CET),43.388 km/h,ME - Men Elite,166.9 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p2,95,2291,Valls,Igualada,0,812,Sprint of small group,
8,vuelta-a-espana/2019/stage-9,01 September 2019,14:54  (16:54 CET),31.793 km/h,ME - Men Elite,94.4 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p5,394,3300,Andorra la Vella,Cortals d’Encamp,0,812,3 km solo,
9,vuelta-a-espana/2019/stage-10,03 September 2019,13:41  (15:41 CET),46.131 km/h,ME - Men Elite,36.2 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p2,49,525,Jurançon,Pau,0,812,Time Trial,
10,vuelta-a-espana/2019/stage-11,04 September 2019,12:51  (14:51 CET),39.027 km/h,ME - Men Elite,180 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p4,137,3168,Saint-Palais,Urdax-Dantxarinea,0,812,25 km solo,
11,vuelta-a-espana/2019/stage-12,05 September 2019,13:12  (15:12 CET),45.046 km/h,ME - Men Elite,171.4 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p2,160,2072,Circuito de Navarra,Bilbao,0,812,9 km solo,
12,vuelta-a-espana/2019/stage-13,06 September 2019,12:58  (14:58 CET),37.194 km/h,ME - Men Elite,166.4 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p5,287,4179,Bilbao,Los Machucos. Monumento Vaca Pasiega,0,812,Sprint a deux,
13,vuelta-a-espana/2019/stage-14,07 September 2019,12:46  (14:46 CET),41.969 km/h,ME - Men Elite,188 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p3,63,2432,San Vicente de la Barquer,Oviedo,0,812,Sprint of large group,
14,vuelta-a-espana/2019/stage-15,08 September 2019,13:18  (15:18 CET),35.759 km/h,ME - Men Elite,154.4 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p5,368,4114,Tineo,Santuario del Acebo,0,812,6.6 km solo,
15,vuelta-a-espana/2019/stage-16,09 September 2019,13:28  (15:28 CET),35.896 km/h,ME - Men Elite,144.4 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p5,326,4114,Pravia,Alto de La Cubilla. Lena,0,812,4 km solo,
16,vuelta-a-espana/2019/stage-17,11 September 2019,11:49  (13:49 CET),50.63 km/h,ME - Men Elite,219.6 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p3,57,2395,Aranda de Duero,Guadalajara,0,812,Sprint of small group,
17,vuelta-a-espana/2019/stage-18,12 September 2019,12:40  (14:40 CET),39.143 km/h,ME - Men Elite,178.2 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p5,162,3689,Colmenar Viejo,Becerril de la Sierra,0,812,53 km solo,
18,vuelta-a-espana/2019/stage-19,13 September 2019,13:34  (15:34 CET),44.336 km/h,ME - Men Elite,165.2 km,GT.B.Stage,UCI.WR.GT.B.Stage - TM2022,p3,48,1771,Ávila,Toledo,0,812,24 km solo,
