,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code
0,,,,,,,,,,great-ocean-race/2023
1,1,94,,MAYRHOFER MariusTeam DSM,22,Team DSM,300,225,4:15:11,great-ocean-race/2023
2,2,53,,PAGE HugoIntermarché - Circus - Wanty,21,Intermarché - Circus - Wanty,250,150,",,0:00",great-ocean-race/2023
3,3,113,,CLARKE SimonIsrael - Premier Tech,36,Israel - Premier Tech,215,110,",,0:00",great-ocean-race/2023
4,4,86,,MATTHEWS MichaelTeam Jayco AlUla,32,Team Jayco AlUla,175,90,",,0:00",great-ocean-race/2023
5,5,112,,STRONG CorbinIsrael - Premier Tech,22,Israel - Premier Tech,120,80,",,0:00",great-ocean-race/2023
6,6,131,,EWAN CalebUniSA-Australia,28,UniSA-Australia,115,70,",,0:00",great-ocean-race/2023
7,7,57,,SMITH DionIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,95,60,",,0:00",great-ocean-race/2023
8,8,65,,HIRSCHI MarcUAE Team Emirates,24,UAE Team Emirates,75,50,",,0:00",great-ocean-race/2023
9,9,62,,BENNETT GeorgeUAE Team Emirates,32,UAE Team Emirates,60,46,",,0:00",great-ocean-race/2023
10,10,34,,QUINN SeanEF Education-EasyPost,22,EF Education-EasyPost,50,42,",,0:00",great-ocean-race/2023
11,11,77,,LEDANOIS KévinTeam Arkéa Samsic,29,Team Arkéa Samsic,40,38,",,0:00",great-ocean-race/2023
12,12,127,,GATE AaronBolton Equities Black Spoke,32,Bolton Equities Black Spoke,35,34,",,0:00",great-ocean-race/2023
13,13,106,,TESFATSION NatnaelTrek - Segafredo,23,Trek - Segafredo,30,30,",,0:00",great-ocean-race/2023
14,14,5,,SCHMID MauroSoudal - Quick Step,23,Soudal - Quick Step,25,26,",,0:00",great-ocean-race/2023
15,15,44,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,20,22,",,0:00",great-ocean-race/2023
16,16,107,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,20,20,",,0:00",great-ocean-race/2023
17,17,32,,HONORÉ Mikkel FrølichEF Education-EasyPost,26,EF Education-EasyPost,20,18,",,0:00",great-ocean-race/2023
18,18,26,,SCHACHMANN MaximilianBORA - hansgrohe,29,BORA - hansgrohe,20,17,",,0:00",great-ocean-race/2023
19,19,103,,GALLOPIN TonyTrek - Segafredo,34,Trek - Segafredo,20,16,",,0:00",great-ocean-race/2023
20,20,121,,FOUCHÉ JamesBolton Equities Black Spoke,24,Bolton Equities Black Spoke,20,15,",,0:00",great-ocean-race/2023
21,21,85,,O'BRIEN KellandTeam Jayco AlUla,24,Team Jayco AlUla,12,14,",,0:00",great-ocean-race/2023
