,Rnk,GC,Timelag,BIB,H2H,Rider,Age,Team,UCI,Pnt,,Time,race_code,Pos.,Timegap,Speed,PCS points,UCI points
0,1,107,+0:57,33,,BAUHAUS PhilBahrain - Victorious,28,Bahrain - Victorious,60,50,10″,3:37:3510″,tour-down-under/2023/stage-1,,,,,
1,2,88,+0:43,191,,EWAN CalebUniSA-Australia,28,UniSA-Australia,40,30,6″,",,0:006″",tour-down-under/2023/stage-1,,,,,
2,3,2,+0:06,1,,MATTHEWS MichaelTeam Jayco AlUla,32,Team Jayco AlUla,30,18,8″,",,0:008″",tour-down-under/2023/stage-1,,,,,
3,4,114,+1:06,145,,COVI AlessandroUAE Team Emirates,24,UAE Team Emirates,25,13,,",,0:00",tour-down-under/2023/stage-1,,,,,
4,5,75,+0:39,86,,PENHOËT PaulGroupama - FDJ,21,Groupama - FDJ,20,10,,",,0:00",tour-down-under/2023/stage-1,,,,,
5,6,101,+0:51,45,,LIEPIŅŠ EmīlsTrek - Segafredo,30,Trek - Segafredo,15,7,,",,0:00",tour-down-under/2023/stage-1,,,,,
6,7,7,+0:12,103,,PAGE HugoIntermarché - Circus - Wanty,21,Intermarché - Circus - Wanty,10,4,,",,0:00",tour-down-under/2023/stage-1,,,,,
7,8,86,+0:42,154,,HOFSTETTER HugoTeam Arkéa Samsic,28,Team Arkéa Samsic,8,3,,",,0:00",tour-down-under/2023/stage-1,,,,,
8,9,46,+0:30,185,,JONES TajIsrael - Premier Tech,22,Israel - Premier Tech,5,2,,",,0:00",tour-down-under/2023/stage-1,,,,,
9,10,113,+1:00,104,,THIJSSEN GerbenIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,2,1,,",,0:00",tour-down-under/2023/stage-1,,,,,
10,11,8,+0:13,136,,MAYRHOFER MariusTeam DSM,22,Team DSM,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
11,12,61,+0:34,51,,COQUARD BryanCofidis,30,Cofidis,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
12,13,105,+0:54,116,,VAN DIJKE TimJumbo-Visma,22,Jumbo-Visma,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
13,14,10,+0:13,66,,STEIMLE JannikSoudal - Quick Step,26,Soudal - Quick Step,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
14,15,51,+0:31,94,,HEIDUK KimINEOS Grenadiers,22,INEOS Grenadiers,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
15,16,9,+0:13,184,,STRONG CorbinIsrael - Premier Tech,22,Israel - Premier Tech,,,3″,",,0:003″",tour-down-under/2023/stage-1,,,,,
16,17,14,+0:16,82,,SCOTSON MilesGroupama - FDJ,29,Groupama - FDJ,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
17,18,59,+0:33,7,,STEWART CampbellTeam Jayco AlUla,24,Team Jayco AlUla,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
18,19,18,+0:18,43,,BRUSTENGA MarcTrek - Segafredo,23,Trek - Segafredo,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
19,20,16,+0:17,146,,VINK MichaelUAE Team Emirates,31,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
20,21,12,+0:15,32,,ARNDT NikiasBahrain - Victorious,31,Bahrain - Victorious,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
21,22,28,+0:23,107,,SMITH DionIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
22,23,37,+0:27,42,,BARONCINI FilippoTrek - Segafredo,22,Trek - Segafredo,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
