,fullname,team,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
0,Sam  Bennett ,BORA - hansgrohe,16/10/1990,Ireland,1.78,73,Wervik,2543,326,25,5528,1268,51,55,60,154,55,716,59,630,67,1086,12,1307,19,sam-bennett,https://www.procyclingstats.com/rider/sam-bennett
1,Bob  Jungels ,BORA - hansgrohe,22/09/1992,Luxembourg,1.89,70,Rollingen,1140,2440,2678,332,2486,86,134,25,18,376,546,89,42,758,136,252,593,92,bob-jungels,https://www.procyclingstats.com/rider/bob-jungels
2,Danny van Poppel ,BORA - hansgrohe,26/07/1993,Netherlands,1.84,82,Moergestel,2624,427,343,4069,878,59,80,18,24,307,754,54,946,28,271,130,332,191,danny-van-poppel,https://www.procyclingstats.com/rider/danny-van-poppel
3,Aleksandr  Vlasov ,BORA - hansgrohe,23/04/1996,Russia,1.86,68,Vyborg,913,2513,554,81,3118,8,11,11,98,103,1715,5,845,41,1023,13,514,119,aleksandr-vlasov,https://www.procyclingstats.com/rider/aleksandr-vlasov
4,Patrick  Konrad ,BORA - hansgrohe,13/10/1991,Austria,1.74,64,Mödling,1170,2272,445,282,3274,137,156,3,45,197,385,154,633,66,568,54,608,88,patrick-konrad,https://www.procyclingstats.com/rider/patrick-konrad
5,Maximilian  Schachmann ,BORA - hansgrohe,09/01/1994,Germany,1.83,70,Berlin,1305,1677,1330,140,2608,257,316,13,22,324,222,260,846,39,923,16,1054,29,maximilian-schachmann,https://www.procyclingstats.com/rider/maximilian-schachmann
6,Emanuel  Buchmann ,BORA - hansgrohe,18/11/1992,Germany,1.79,59,Ravensburg,746,2803,233,62,2980,147,147,4,123,86,355,169,203,261,147,231,1378,14,emanuel-buchmann,https://www.procyclingstats.com/rider/emanuel-buchmann
7,Sergio  Higuita ,BORA - hansgrohe,01/08/1997,Colombia,1.66,57,Medellín,913,1727,123,79,2516,15,13,9,156,51,1232,18,506,100,417,75,1022,31,sergio-higuita,https://www.procyclingstats.com/rider/sergio-higuita
8,Jai  Hindley ,BORA - hansgrohe,05/05/1996,Australia,1.75,60,Perth,259,2132,51,154,2046,19,19,8,94,107,1206,19,161,329,790,25,322,196,jai-hindley,https://www.procyclingstats.com/rider/jai-hindley
9,Nils  Politt ,BORA - hansgrohe,06/03/1994,Germany,1.92,80,Cologne,1438,850,1087,440,878,174,131,6,60,161,321,188,607,76,101,320,718,71,nils-politt,https://www.procyclingstats.com/rider/nils-politt
10,Marco  Haller ,BORA - hansgrohe,01/04/1991,Austria,1.78,72,Sankt Veit an der Glan,983,559,17,781,458,172,140,6,23,313,342,176,216,243,118,290,279,225,marco-haller,https://www.procyclingstats.com/rider/marco-haller
11,Lennard  Kämna ,BORA - hansgrohe,09/09/1996,Germany,1.81,65,Wedel,245,529,519,46,1448,180,361,7,10,494,460,125,68,581,539,59,187,344,lennard-kamna,https://www.procyclingstats.com/rider/lennard-kamna
12,Jordi  Meeus ,BORA - hansgrohe,01/07/1998,Belgium,1.9,80,Lommel,973,41,30,838,289,85,71,7,165,47,406,145,522,95,131,257,26,1184,jordi-meeus,https://www.procyclingstats.com/rider/jordi-meeus
13,Cesare  Benedetti ,BORA - hansgrohe,03/08/1987,Poland,1.7,63,Rovereto,396,443,1,198,354,630,1219,1,0,0,66,614,95,471,46,553,169,372,cesare-benedetti,https://www.procyclingstats.com/rider/cesare-benedetti
14,Jonas  Koch ,BORA - hansgrohe,25/06/1993,Germany,1.87,75,Schwäbisch Hall,497,305,36,380,490,483,786,0,7,576,131,374,100,460,44,579,225,287,jonas-koch,https://www.procyclingstats.com/rider/jonas-koch
