,team-name,,circuit,country,team_url,more_gear_url,Bike,Groupset,Wheels,Saddle,Tyres,Pedals,Powermeter,Sunglasses,Helmets,Shoes,Bartape,Kit,Sports nutrition,Cycling computer,Hometrainer
0,bora-hansgrohe,bora - hansgrohe,WorldTeams,germany,https://www.procyclingstats.com/team/bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2023/more/gear,SpecializedSpecialized,Shimano,Roval,Specialized,,,,100%,Specialized,,,Le ColRoeckl,,Wahoo,
1,cofidis,cofidis,WorldTeams,france,https://www.procyclingstats.com/team/cofidis-2023,https://www.procyclingstats.com/team/cofidis-2023/more/gear,LOOK,Shimano,Corima,Selle Italia,Michelin,,,EKOÏ,EKOÏ,,,Van Rysel,,Wahoo,
2,ef-education-easypost,ef education-easypost,WorldTeams,usa,https://www.procyclingstats.com/team/ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-easypost-2023/more/gear,Cannondale,Shimano,Vision,Prologo,Vittoria,,,POC,POC,,,Rapha,,Wahoo,Wahoo
3,groupama-fdj,groupama - fdj,WorldTeams,france,https://www.procyclingstats.com/team/groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2023/more/gear,Lapierre,Shimano,Shimano,Prologo,Continental,,,Julbo,Giro,,,Alé,Apurna,Garmin,
4,ineos-grenadiers,ineos grenadiers,WorldTeams,united kingdom,https://www.procyclingstats.com/team/ineos-grenadiers-2023,https://www.procyclingstats.com/team/ineos-grenadiers-2023/more/gear,Pinarello,Shimano,Shimano,Fizik,Continental,,,SunGod,Kask,,,Bioracer,SiS,Garmin,
5,intermarche-circus-wanty,intermarche - circus - wanty,WorldTeams,belgium,https://www.procyclingstats.com/team/intermarche-circus-wanty-2023,https://www.procyclingstats.com/team/intermarche-circus-wanty-2023/more/gear,Cube,Shimano,ShimanoNewmen,Prologo,ContinentalContinental,,,Uvex Sports,Uvex Sports,Gaerne,Prologo,Nalini,,Bryton,Bryton
6,team-jumbo-visma,team jumbo visma,WorldTeams,netherlands,https://www.procyclingstats.com/team/team-jumbo-visma-2023,https://www.procyclingstats.com/team/team-jumbo-visma-2023/more/gear,Cervélo,SRAM,Reserve Wheels,Fizik,Vittoria,Speedplay,,Oakley,Lazer,Nimbl,FSA,AGU,Amacx,Garmin,
7,movistar-team,movistar team,WorldTeams,spain,https://www.procyclingstats.com/team/movistar-team-2023,https://www.procyclingstats.com/team/movistar-team-2023/more/gear,Canyon,SRAM,ZippZipp,Fizik,ContinentalContinental,LOOK,Quarq,100%,Abus,Fizik,Lizard Skins,GOBIK,226ERS,Garmin,Elite
8,soudal-quick-step,soudal - quick step,WorldTeams,belgium,https://www.procyclingstats.com/team/soudal-quick-step-2023,https://www.procyclingstats.com/team/soudal-quick-step-2023/more/gear,Specialized,Shimano,Roval,Specialized,Specialized,Shimano,Shimano,Oakley,Specialized,Specialized,Supacaz,Castelli,6D Sports Nutrition,Garmin,Tacx
9,team-arkea-samsic,team arkea samsic,WorldTeams,france,https://www.procyclingstats.com/team/team-arkea-samsic-2023,https://www.procyclingstats.com/team/team-arkea-samsic-2023/more/gear,Bianchi,Shimano,Shimano,Selle Italia,Continental,,,EKOÏ,EKOÏ,,,Jinga,,Wahoo,
10,team-jayco-alula,team jayco alula,WorldTeams,australia,https://www.procyclingstats.com/team/team-jayco-alula-2023,https://www.procyclingstats.com/team/team-jayco-alula-2023/more/gear,Giant,Shimano,Cadex,Giant,Cadex,Shimano,Shimano,Scicon,Giant,,Giant,Alé,,Garmin,
