,Unnamed: 0,team_code_history,team_history_url,team_url_2023,URL,Team Name,Wins,Points,PCS Ranking,UCI Ranking
0,5,bora-hansgrohe-2022,https://www.procyclingstats.com/team/bora-hansgrohe-2022,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2022,BORA - hansgrohe,30,9936,4,4
1,6,bora-hansgrohe-2021,https://www.procyclingstats.com/team/bora-hansgrohe-2021,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2021,BORA - hansgrohe,30,7761,6,-
2,7,bora-hansgrohe-2020,https://www.procyclingstats.com/team/bora-hansgrohe-2020,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2020,BORA - hansgrohe,21,6557,6,-
3,8,bora-hansgrohe-2019,https://www.procyclingstats.com/team/bora-hansgrohe-2019,bora-hansgrohe-2023,https://www.procyclingstats.com/team/bora-hansgrohe-2019,BORA - hansgrohe,47,12501,2,-
4,3,cofidis-2022,https://www.procyclingstats.com/team/cofidis-2022,cofidis-2023,https://www.procyclingstats.com/team/cofidis-2022,Cofidis,19,7626,11,10
5,4,cofidis-2021,https://www.procyclingstats.com/team/cofidis-2021,cofidis-2023,https://www.procyclingstats.com/team/cofidis-2021,Cofidis,12,5895,14,-
6,5,cofidis-2020,https://www.procyclingstats.com/team/cofidis-2020,cofidis-2023,https://www.procyclingstats.com/team/cofidis-2020,Cofidis,2,3568,19,-
7,6,cofidis-solutions-credits-2019,https://www.procyclingstats.com/team/cofidis-solutions-credits-2019,cofidis-2023,https://www.procyclingstats.com/team/cofidis-solutions-credits-2019,"Cofidis, Solutions Crédits",20,4795,18,-
8,3,ef-education-easypost-2022,https://www.procyclingstats.com/team/ef-education-easypost-2022,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-easypost-2022,EF Education-EasyPost,9,5973,16,18
9,4,ef-education-nippo-2021,https://www.procyclingstats.com/team/ef-education-nippo-2021,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-nippo-2021,EF Education - Nippo,16,4776,18,-
10,5,ef-pro-cycling-2020,https://www.procyclingstats.com/team/ef-pro-cycling-2020,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-pro-cycling-2020,EF Pro Cycling,17,5095,10,-
11,6,ef-education-first-2019,https://www.procyclingstats.com/team/ef-education-first-2019,ef-education-easypost-2023,https://www.procyclingstats.com/team/ef-education-first-2019,EF Education First,17,7942,9,-
12,3,groupama-fdj-2022,https://www.procyclingstats.com/team/groupama-fdj-2022,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2022,Groupama - FDJ,20,8648,9,7
13,4,groupama-fdj-2021,https://www.procyclingstats.com/team/groupama-fdj-2021,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2021,Groupama - FDJ,23,5904,13,-
14,5,groupama-fdj-2020,https://www.procyclingstats.com/team/groupama-fdj-2020,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2020,Groupama - FDJ,20,4822,11,-
15,6,groupama-fdj-2019,https://www.procyclingstats.com/team/groupama-fdj-2019,groupama-fdj-2023,https://www.procyclingstats.com/team/groupama-fdj-2019,Groupama - FDJ,25,6539,14,-
16,5,ineos-grenadiers-2022,https://www.procyclingstats.com/team/ineos-grenadiers-2022,ineos-grenadiers-2023,https://www.procyclingstats.com/team/ineos-grenadiers-2022,INEOS Grenadiers,39,12628,1,3
