,race_code,race_url,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
39,great-ocean-race/2020,https://www.procyclingstats.com/race/great-ocean-race/2020,02-Feb-20,11:10  (01:10 CET),41.76 km/h,ME - Men Elite,171.1 km,1.WT.B,UCI.WR.C3,,79,1531,Geelong,Geelong,55,381,Sprint a deux,
41,omloop-het-nieuwsblad/2020,https://www.procyclingstats.com/race/omloop-het-nieuwsblad/2020,29-Feb-20,11:43,39.55 km/h,ME - Men Elite,200 km,1.WT.B,UCI.WR.C3,,49,1663,Ghent,Ninove,27,713,Sprint a deux,
43,strade-bianche/2020,https://www.procyclingstats.com/race/strade-bianche/2020,01-Aug-20,13:45,36.93 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C3,,159,3073,Siena,Siena,6,824,12.5 km solo,
45,milano-sanremo/2020,https://www.procyclingstats.com/race/milano-sanremo/2020,08-Aug-20,11:00,41.96 km/h,ME - Men Elite,305 km,1.WT.A,UCI.WR.C1,,68,2803,Milano,Sanremo,4,982,Sprint a deux,
47,il-lombardia/2020,https://www.procyclingstats.com/race/il-lombardia/2020,15-Aug-20,12:25,41.63 km/h,ME - Men Elite,231 km,1.WT.A,UCI.WR.C1,,260,3975,Bergamo,Como,18,651,6.3 km solo,
48,bretagne-classic/2020,https://www.procyclingstats.com/race/bretagne-classic/2020,25-Aug-20,09:45,41.15 km/h,ME - Men Elite,247.75 km,1.WT.B,UCI.WR.C2,,76,2881,Plouay,Plouay,40,331,Sprint of small group,
52,la-fleche-wallone/2020,https://www.procyclingstats.com/race/la-fleche-wallone/2020,30-Sep-20,11:30,41.9 km/h,ME - Men Elite,202 km,1.WT.B,UCI.WR.C2,,167,3124,Herve,Mur de Huy,17,599,Sprint of small group,
54,liege-bastogne-liege/2020,https://www.procyclingstats.com/race/liege-bastogne-liege/2020,04-Oct-20,10:25,39.33 km/h,ME - Men Elite,257 km,1.WT.A,UCI.WR.C1,,182,4353,Liège,Liège,6,865,Sprint of small group,
55,gent-wevelgem/2020,https://www.procyclingstats.com/race/gent-wevelgem/2020,11-Oct-20,10:18,43.68 km/h,ME - Men Elite,232.5 km,1.WT.B,UCI.WR.C1,,33,1360,Ypres,Wevelgem,12,703,Sprint of small group,
56,ronde-van-vlaanderen/2020,https://www.procyclingstats.com/race/ronde-van-vlaanderen/2020,18-Oct-20,10:03  (11:03 CET),42.52 km/h,ME - Men Elite,243.3 km,1.WT.A,UCI.WR.C1,,79,2014,Antwerpen,Oudenaarde,8,806,Sprint a deux,
