,race_code,race_url
0,giro-d-italia/2019/stage-1,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-1
1,giro-d-italia/2019/stage-2,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-2
2,giro-d-italia/2019/stage-3,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-3
3,giro-d-italia/2019/stage-4,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-4
4,giro-d-italia/2019/stage-5,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-5
5,giro-d-italia/2019/stage-6,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-6
6,giro-d-italia/2019/stage-7,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-7
7,giro-d-italia/2019/stage-8,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-8
8,giro-d-italia/2019/stage-9,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-9
9,giro-d-italia/2019/stage-10,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-10
10,giro-d-italia/2019/stage-11,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-11
11,giro-d-italia/2019/stage-12,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-12
12,giro-d-italia/2019/stage-13,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-13
13,giro-d-italia/2019/stage-14,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-14
14,giro-d-italia/2019/stage-15,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-15
15,giro-d-italia/2019/stage-16,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-16
16,giro-d-italia/2019/stage-17,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-17
17,giro-d-italia/2019/stage-18,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-18
18,giro-d-italia/2019/stage-19,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-19
19,giro-d-italia/2019/stage-20,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-20
20,giro-d-italia/2019/stage-21,https://www.procyclingstats.com/race/giro-d-italia/2019/stage-21
84,giro-d-italia/2020/stage-1,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-1
85,giro-d-italia/2020/stage-2,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-2
86,giro-d-italia/2020/stage-3,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-3
87,giro-d-italia/2020/stage-4,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-4
88,giro-d-italia/2020/stage-5,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-5
89,giro-d-italia/2020/stage-6,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-6
90,giro-d-italia/2020/stage-7,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-7
91,giro-d-italia/2020/stage-8,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-8
92,giro-d-italia/2020/stage-9,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-9
93,giro-d-italia/2020/stage-10,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-10
94,giro-d-italia/2020/stage-11,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-11
95,giro-d-italia/2020/stage-12,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-12
96,giro-d-italia/2020/stage-13,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-13
97,giro-d-italia/2020/stage-14,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-14
98,giro-d-italia/2020/stage-15,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-15
99,giro-d-italia/2020/stage-16,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-16
100,giro-d-italia/2020/stage-17,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-17
101,giro-d-italia/2020/stage-18,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-18
102,giro-d-italia/2020/stage-19,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-19
103,giro-d-italia/2020/stage-20,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-20
104,giro-d-italia/2020/stage-21,https://www.procyclingstats.com/race/giro-d-italia/2020/stage-21
126,giro-d-italia/2021/stage-1,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-1
127,giro-d-italia/2021/stage-2,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-2
128,giro-d-italia/2021/stage-3,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-3
129,giro-d-italia/2021/stage-4,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-4
130,giro-d-italia/2021/stage-5,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-5
131,giro-d-italia/2021/stage-6,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-6
132,giro-d-italia/2021/stage-7,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-7
133,giro-d-italia/2021/stage-8,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-8
134,giro-d-italia/2021/stage-9,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-9
135,giro-d-italia/2021/stage-10,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-10
136,giro-d-italia/2021/stage-11,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-11
137,giro-d-italia/2021/stage-12,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-12
138,giro-d-italia/2021/stage-13,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-13
139,giro-d-italia/2021/stage-14,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-14
140,giro-d-italia/2021/stage-15,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-15
141,giro-d-italia/2021/stage-16,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-16
142,giro-d-italia/2021/stage-17,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-17
143,giro-d-italia/2021/stage-18,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-18
144,giro-d-italia/2021/stage-19,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-19
145,giro-d-italia/2021/stage-20,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-20
146,giro-d-italia/2021/stage-21,https://www.procyclingstats.com/race/giro-d-italia/2021/stage-21
189,giro-d-italia/2022/stage-1,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-1
190,giro-d-italia/2022/stage-2,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-2
191,giro-d-italia/2022/stage-3,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-3
192,giro-d-italia/2022/stage-4,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-4
193,giro-d-italia/2022/stage-5,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-5
194,giro-d-italia/2022/stage-6,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-6
195,giro-d-italia/2022/stage-7,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-7
196,giro-d-italia/2022/stage-8,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-8
197,giro-d-italia/2022/stage-9,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-9
198,giro-d-italia/2022/stage-10,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-10
199,giro-d-italia/2022/stage-11,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-11
200,giro-d-italia/2022/stage-12,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-12
201,giro-d-italia/2022/stage-13,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-13
202,giro-d-italia/2022/stage-14,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-14
203,giro-d-italia/2022/stage-15,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-15
204,giro-d-italia/2022/stage-16,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-16
205,giro-d-italia/2022/stage-17,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-17
206,giro-d-italia/2022/stage-18,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-18
207,giro-d-italia/2022/stage-19,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-19
208,giro-d-italia/2022/stage-20,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-20
209,giro-d-italia/2022/stage-21,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-21
