,rider_code,rider_url
0,sam-bennett,https://www.procyclingstats.com/rider/sam-bennett
1,bob-jungels,https://www.procyclingstats.com/rider/bob-jungels
2,danny-van-poppel,https://www.procyclingstats.com/rider/danny-van-poppel
3,aleksandr-vlasov,https://www.procyclingstats.com/rider/aleksandr-vlasov
4,patrick-konrad,https://www.procyclingstats.com/rider/patrick-konrad
5,maximilian-schachmann,https://www.procyclingstats.com/rider/maximilian-schachmann
6,emanuel-buchmann,https://www.procyclingstats.com/rider/emanuel-buchmann
7,sergio-higuita,https://www.procyclingstats.com/rider/sergio-higuita
8,jai-hindley,https://www.procyclingstats.com/rider/jai-hindley
9,nils-politt,https://www.procyclingstats.com/rider/nils-politt
10,marco-haller,https://www.procyclingstats.com/rider/marco-haller
11,lennard-kamna,https://www.procyclingstats.com/rider/lennard-kamna
12,jordi-meeus,https://www.procyclingstats.com/rider/jordi-meeus
13,cesare-benedetti,https://www.procyclingstats.com/rider/cesare-benedetti
14,jonas-koch,https://www.procyclingstats.com/rider/jonas-koch
15,giovanni-aleotti,https://www.procyclingstats.com/rider/giovanni-aleotti
16,nico-denz,https://www.procyclingstats.com/rider/nico-denz
17,ryan-mullen,https://www.procyclingstats.com/rider/ryan-mullen
18,matteo-fabbro,https://www.procyclingstats.com/rider/matteo-fabbro
19,ide-schelling,https://www.procyclingstats.com/rider/ide-schelling
20,shane-archbold,https://www.procyclingstats.com/rider/shane-archbold
21,matthew-walls,https://www.procyclingstats.com/rider/matthew-walls
22,ben-zwiehoff,https://www.procyclingstats.com/rider/ben-zwiehoff
23,cian-uijtdebroeks,https://www.procyclingstats.com/rider/cian-uijtdebroeks
24,patrick-gamper,https://www.procyclingstats.com/rider/patrick-gamper
25,frederik-wandahl,https://www.procyclingstats.com/rider/frederik-wandahl
26,victor-koretzky,https://www.procyclingstats.com/rider/victor-koretzky
27,anton-palzer,https://www.procyclingstats.com/rider/anton-palzer
28,florian-lipowitz,https://www.procyclingstats.com/rider/florian-lipowitz
29,luis-joe-luhrs,https://www.procyclingstats.com/rider/luis-joe-luhrs
30,ion-izagirre,https://www.procyclingstats.com/rider/ion-izagirre
31,bryan-coquard,https://www.procyclingstats.com/rider/bryan-coquard
32,guillaume-martin,https://www.procyclingstats.com/rider/guillaume-martin
33,jesus-herrada-lopez,https://www.procyclingstats.com/rider/jesus-herrada-lopez
34,simon-geschke,https://www.procyclingstats.com/rider/simon-geschke
35,davide-cimolai,https://www.procyclingstats.com/rider/davide-cimolai
36,max-walscheid,https://www.procyclingstats.com/rider/max-walscheid
37,simone-consonni,https://www.procyclingstats.com/rider/simone-consonni
38,jose-herrada,https://www.procyclingstats.com/rider/jose-herrada
39,jelle-wallays,https://www.procyclingstats.com/rider/jelle-wallays
40,ruben-fernandez,https://www.procyclingstats.com/rider/ruben-fernandez
41,pierre-luc-perichon,https://www.procyclingstats.com/rider/pierre-luc-perichon
42,benjamin-thomas-2,https://www.procyclingstats.com/rider/benjamin-thomas-2
43,piet-allegaert,https://www.procyclingstats.com/rider/piet-allegaert
44,jonathan-lastra,https://www.procyclingstats.com/rider/jonathan-lastra
45,anthony-perez,https://www.procyclingstats.com/rider/anthony-perez
46,wesley-kreder,https://www.procyclingstats.com/rider/wesley-kreder
47,axel-zingle,https://www.procyclingstats.com/rider/axel-zingle
48,christophe-noppe,https://www.procyclingstats.com/rider/christophe-noppe
49,victor-lafay,https://www.procyclingstats.com/rider/victor-lafay
50,remy-rochas,https://www.procyclingstats.com/rider/remy-rochas
51,francois-bidard,https://www.procyclingstats.com/rider/francois-bidard
52,alexis-renard,https://www.procyclingstats.com/rider/alexis-renard
53,alexandre-delettre,https://www.procyclingstats.com/rider/alexandre-delettre
54,eddy-fine,https://www.procyclingstats.com/rider/eddy-fine
55,andre-carvalho,https://www.procyclingstats.com/rider/andre-carvalho
56,thomas-champion,https://www.procyclingstats.com/rider/thomas-champion
57,axel-mariault,https://www.procyclingstats.com/rider/axel-mariault
58,hugo-toumire,https://www.procyclingstats.com/rider/hugo-toumire
59,harrison-wood,https://www.procyclingstats.com/rider/harrison-wood
60,rigoberto-uran,https://www.procyclingstats.com/rider/rigoberto-uran
61,richard-carapaz,https://www.procyclingstats.com/rider/richard-carapaz
62,johan-esteban-chaves,https://www.procyclingstats.com/rider/johan-esteban-chaves
63,magnus-cort-nielsen,https://www.procyclingstats.com/rider/magnus-cort-nielsen
64,jens-keukeleire,https://www.procyclingstats.com/rider/jens-keukeleire
65,hugh-carthy,https://www.procyclingstats.com/rider/hugh-carthy
66,alberto-bettiol,https://www.procyclingstats.com/rider/alberto-bettiol
67,andrey-amador,https://www.procyclingstats.com/rider/andrey-amador
68,neilson-powless,https://www.procyclingstats.com/rider/neilson-powless
69,merhawi-kudus,https://www.procyclingstats.com/rider/merhawi-kudus
70,odd-christian-eiking,https://www.procyclingstats.com/rider/odd-christian-eiking
71,mikkel-honore,https://www.procyclingstats.com/rider/mikkel-honore
72,owain-doull,https://www.procyclingstats.com/rider/owain-doull
73,mark-padun,https://www.procyclingstats.com/rider/mark-padun
74,stefan-bissegger,https://www.procyclingstats.com/rider/stefan-bissegger
75,lukasz-wisniowski,https://www.procyclingstats.com/rider/lukasz-wisniowski
76,jonathan-klever-caicedo,https://www.procyclingstats.com/rider/jonathan-klever-caicedo
77,stefan-de-bod,https://www.procyclingstats.com/rider/stefan-de-bod
78,marijn-van-den-berg,https://www.procyclingstats.com/rider/marijn-van-den-berg
79,james-shaw,https://www.procyclingstats.com/rider/james-shaw
80,thomas-scully,https://www.procyclingstats.com/rider/thomas-scully
81,andrea-piccolo,https://www.procyclingstats.com/rider/andrea-piccolo
