,team_code_history,team_history_url,team_url_2023
5,bora-hansgrohe-2022,https://www.procyclingstats.com/team/bora-hansgrohe-2022,bora-hansgrohe-2023
6,bora-hansgrohe-2021,https://www.procyclingstats.com/team/bora-hansgrohe-2021,bora-hansgrohe-2023
7,bora-hansgrohe-2020,https://www.procyclingstats.com/team/bora-hansgrohe-2020,bora-hansgrohe-2023
8,bora-hansgrohe-2019,https://www.procyclingstats.com/team/bora-hansgrohe-2019,bora-hansgrohe-2023
3,cofidis-2022,https://www.procyclingstats.com/team/cofidis-2022,cofidis-2023
4,cofidis-2021,https://www.procyclingstats.com/team/cofidis-2021,cofidis-2023
5,cofidis-2020,https://www.procyclingstats.com/team/cofidis-2020,cofidis-2023
6,cofidis-solutions-credits-2019,https://www.procyclingstats.com/team/cofidis-solutions-credits-2019,cofidis-2023
3,ef-education-easypost-2022,https://www.procyclingstats.com/team/ef-education-easypost-2022,ef-education-easypost-2023
4,ef-education-nippo-2021,https://www.procyclingstats.com/team/ef-education-nippo-2021,ef-education-easypost-2023
5,ef-pro-cycling-2020,https://www.procyclingstats.com/team/ef-pro-cycling-2020,ef-education-easypost-2023
6,ef-education-first-2019,https://www.procyclingstats.com/team/ef-education-first-2019,ef-education-easypost-2023
3,groupama-fdj-2022,https://www.procyclingstats.com/team/groupama-fdj-2022,groupama-fdj-2023
4,groupama-fdj-2021,https://www.procyclingstats.com/team/groupama-fdj-2021,groupama-fdj-2023
5,groupama-fdj-2020,https://www.procyclingstats.com/team/groupama-fdj-2020,groupama-fdj-2023
6,groupama-fdj-2019,https://www.procyclingstats.com/team/groupama-fdj-2019,groupama-fdj-2023
5,ineos-grenadiers-2022,https://www.procyclingstats.com/team/ineos-grenadiers-2022,ineos-grenadiers-2023
6,ineos-grenadiers-2021,https://www.procyclingstats.com/team/ineos-grenadiers-2021,ineos-grenadiers-2023
7,ineos-grenadiers-2020,https://www.procyclingstats.com/team/ineos-grenadiers-2020,ineos-grenadiers-2023
10,team-ineos-2019,https://www.procyclingstats.com/team/team-ineos-2019,ineos-grenadiers-2023
4,intermarche-wanty-gobert-materiaux-2022,https://www.procyclingstats.com/team/intermarche-wanty-gobert-materiaux-2022,intermarche-circus-wanty-2023
5,intermarche-wanty-gobert-materiaux-2021,https://www.procyclingstats.com/team/intermarche-wanty-gobert-materiaux-2021,intermarche-circus-wanty-2023
6,circus-wanty-gobert-2020,https://www.procyclingstats.com/team/circus-wanty-gobert-2020,intermarche-circus-wanty-2023
7,wanty-gobert-cycling-team-2019,https://www.procyclingstats.com/team/wanty-gobert-cycling-team-2019,intermarche-circus-wanty-2023
5,team-jumbo-visma-2022,https://www.procyclingstats.com/team/team-jumbo-visma-2022,team-jumbo-visma-2023
6,team-jumbo-visma-2021,https://www.procyclingstats.com/team/team-jumbo-visma-2021,team-jumbo-visma-2023
7,team-jumbo-visma-2020,https://www.procyclingstats.com/team/team-jumbo-visma-2020,team-jumbo-visma-2023
8,team-jumbo-visma-2019,https://www.procyclingstats.com/team/team-jumbo-visma-2019,team-jumbo-visma-2023
3,movistar-team-2022,https://www.procyclingstats.com/team/movistar-team-2022,movistar-team-2023
4,movistar-team-2021,https://www.procyclingstats.com/team/movistar-team-2021,movistar-team-2023
5,movistar-team-2020,https://www.procyclingstats.com/team/movistar-team-2020,movistar-team-2023
6,movistar-team-2019,https://www.procyclingstats.com/team/movistar-team-2019,movistar-team-2023
5,quick-step-alpha-vinyl-2022,https://www.procyclingstats.com/team/quick-step-alpha-vinyl-2022,soudal-quick-step-2023
6,deceuninck-quick-step-2021,https://www.procyclingstats.com/team/deceuninck-quick-step-2021,soudal-quick-step-2023
7,deceuninck-quick-step-2020,https://www.procyclingstats.com/team/deceuninck-quick-step-2020,soudal-quick-step-2023
8,deceuninck-quick-step-2019,https://www.procyclingstats.com/team/deceuninck-quick-step-2019,soudal-quick-step-2023
3,team-arkea-samsic-2022,https://www.procyclingstats.com/team/team-arkea-samsic-2022,team-arkea-samsic-2023
4,team-arkea-samsic-2021,https://www.procyclingstats.com/team/team-arkea-samsic-2021,team-arkea-samsic-2023
5,team-arkea-samsic-2020,https://www.procyclingstats.com/team/team-arkea-samsic-2020,team-arkea-samsic-2023
6,team-arkea-samsic-2019,https://www.procyclingstats.com/team/team-arkea-samsic-2019,team-arkea-samsic-2023
3,team-bikeexchange-jayco-2022,https://www.procyclingstats.com/team/team-bikeexchange-jayco-2022,team-jayco-alula-2023
