,rider_code,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb
0,laurens-de-plus,68,0,2,3,158.0,68.68518518518519,0.0,0.029411764705882353,0.04411764705882353,2.323529411764706
1,oliver-naesen,113,1,4,18,1092.0,52.60747663551402,0.008849557522123894,0.035398230088495575,0.1592920353982301,9.663716814159292
2,tim-wellens,129,4,7,24,1218.0,51.53508771929825,0.031007751937984496,0.05426356589147287,0.18604651162790697,9.44186046511628
3,greg-van-avermaet,119,1,10,33,2078.0,42.71551724137931,0.008403361344537815,0.08403361344537816,0.2773109243697479,17.462184873949578
4,marc-hirschi,137,6,15,31,1970.0,52.47692307692308,0.043795620437956206,0.10948905109489052,0.22627737226277372,14.379562043795621
5,mike-teunissen,80,0,0,8,358.0,71.30263157894737,0.0,0.0,0.1,4.475
6,ivan-garcia-cortina,107,1,2,16,780.0,61.78260869565217,0.009345794392523364,0.018691588785046728,0.14953271028037382,7.289719626168225
7,stefan-kung,117,0,2,12,748.0,54.51304347826087,0.0,0.017094017094017096,0.10256410256410256,6.3931623931623935
8,simon-clarke,150,1,7,22,1135.0,64.45185185185186,0.006666666666666667,0.04666666666666667,0.14666666666666667,7.566666666666666
9,,0.0,,,,,,,,,
10,fabio-felline,128,0,1,4,129.0,62.38834951456311,0.0,0.0078125,0.03125,1.0078125
11,sep-vanmarcke,63,1,1,6,520.0,63.017857142857146,0.015873015873015872,0.015873015873015872,0.09523809523809523,8.253968253968255
12,dion-smith,95,1,2,12,478.0,64.66279069767442,0.010526315789473684,0.021052631578947368,0.12631578947368421,5.031578947368421
13,zdenek-stybar,95,1,2,7,760.0,72.26373626373626,0.010526315789473684,0.021052631578947368,0.07368421052631578,8.0
14,ruben-guerreiro,121,2,4,15,608.0,33.07079646017699,0.01652892561983471,0.03305785123966942,0.12396694214876033,5.024793388429752
15,dylan-van-baarle,152,3,5,17,1519.0,56.080536912751676,0.019736842105263157,0.03289473684210526,0.1118421052631579,9.993421052631579
16,martijn-tusveld,130,0,0,3,95.0,65.6260162601626,0.0,0.0,0.023076923076923078,0.7307692307692307
17,florian-senechal,84,0,2,12,693.0,81.62025316455696,0.0,0.023809523809523808,0.14285714285714285,8.25
18,stan-dewulf,101,1,2,6,313.0,68.16842105263157,0.009900990099009901,0.019801980198019802,0.0594059405940594,3.099009900990099
19,lukas-postlberger,86,1,1,2,119.0,94.41558441558442,0.011627906976744186,0.011627906976744186,0.023255813953488372,1.3837209302325582
