,rider_code,nb_dnf_otl,pct_dnf_otl
0,laurens-de-plus,13,0.13541666666666666
1,oliver-naesen,8,0.039603960396039604
2,tim-wellens,12,0.06818181818181818
3,greg-van-avermaet,2,0.0106951871657754
4,marc-hirschi,4,0.02127659574468085
5,mike-teunissen,2,0.0136986301369863
6,ivan-garcia-cortina,15,0.0872093023255814
7,stefan-kung,1,0.005025125628140704
8,simon-clarke,12,0.05825242718446602
9,,,
10,fabio-felline,23,0.12637362637362637
11,sep-vanmarcke,13,0.10317460317460317
12,dion-smith,10,0.07518796992481203
13,zdenek-stybar,5,0.03205128205128205
14,ruben-guerreiro,8,0.046242774566473986
15,dylan-van-baarle,2,0.008620689655172414
16,martijn-tusveld,7,0.037037037037037035
17,florian-senechal,7,0.0440251572327044
18,stan-dewulf,11,0.0658682634730539
19,lukas-postlberger,15,0.09433962264150944
20,timo-roosen,8,0.06611570247933884
21,nico-denz,19,0.09644670050761421
22,kevin-geniets,11,0.08270676691729323
23,jenthe-biermans,20,0.12578616352201258
24,tim-declercq,15,0.09316770186335403
25,lawrence-warbasse,3,0.017341040462427744
26,jack-bauer,6,0.04918032786885246
27,mads-pedersen,16,0.09142857142857143
28,valentin-madouas,3,0.015384615384615385
29,robert-stannard,13,0.08176100628930817
30,amaury-capiot,13,0.12149532710280374
31,casper-pedersen,16,0.09937888198757763
32,davide-ballerini,21,0.12280701754385964
33,milan-menten,10,0.12345679012345678
34,piet-allegaert,12,0.09302325581395349
35,jasha-sutterlin,19,0.1043956043956044
36,carlos-verona,3,0.012711864406779662
37,michael-schar,10,0.049019607843137254
38,callum-scotson,14,0.09655172413793103
39,jasper-philipsen,8,0.04371584699453552
40,aime-de-gendt,10,0.07633587786259542
41,jos-van-emden,9,0.05421686746987952
42,edoardo-affini,19,0.13768115942028986
43,sam-bennett,19,0.06418918918918919
44,lukasz-wisniowski,15,0.09554140127388536
45,guillaume-van-keirsbulck,20,0.1724137931034483
46,gijs-van-hoecke,16,0.14035087719298245
47,ryan-gibbons,9,0.06040268456375839
48,kristoffer-halvorsen,22,0.2716049382716049
49,leonardo-basso,31,0.3069306930693069
50,edward-theuns,5,0.02304147465437788
51,boy-van-poppel,19,0.1292517006802721
52,wesley-kreder,13,0.09701492537313433
53,reto-hollenstein,11,0.05392156862745098
54,dmitriy-gruzdev,22,0.12716763005780346
55,oscar-riesebeek,3,0.028037383177570093
56,dries-van-gestel,7,0.07954545454545454
57,baptiste-planckaert,11,0.10679611650485436
58,ludovic-robeet,14,0.17721518987341772
59,tom-bohli,31,0.1781609195402299
60,aaron-verwilst,18,0.26865671641791045
61,edward-planckaert,10,0.09174311926605505
62,arnaud-demare,2,0.011111111111111112
63,rui-oliveira,14,0.09090909090909091
64,dorian-godon,7,0.04142011834319527
65,josef-cerny,22,0.12571428571428572
66,jakub-mareczko,16,0.15841584158415842
67,adrien-petit,24,0.1791044776119403
68,miles-scotson,11,0.06111111111111111
69,ramon-sinkeldam,8,0.050955414012738856
70,juan-sebastian-molano,22,0.11956521739130435
71,alex-kirsch,15,0.0967741935483871
72,matteo-moschetti,21,0.1510791366906475
73,alvaro-jose-hodeg,14,0.15384615384615385
74,bob-jungels,6,0.03208556149732621
75,soren-kragh-andersen,17,0.11805555555555555
76,yevgeniy-gidich,29,0.29
77,manuele-boaro,34,0.19318181818181818
78,filippo-ganna,6,0.04195804195804196
79,lionel-taminiaux,10,0.11363636363636363
80,tom-devriendt,31,0.3229166666666667
81,hector-carretero,20,0.12578616352201258
82,lluis-guillermo-mas,17,0.12686567164179105
83,remy-mertz,18,0.18
84,frederik-frison,20,0.13986013986013987
85,senne-leysen,16,0.11267605633802817
86,julius-van-den-berg,15,0.08620689655172414
87,matej-mohoric,7,0.03783783783783784
88,victor-campenaerts,6,0.039473684210526314
89,luke-durbridge,16,0.08376963350785341
90,jasper-stuyven,3,0.016129032258064516
91,tiesj-benoot,6,0.03636363636363636
92,nikias-arndt,14,0.06542056074766354
93,kasper-asgreen,6,0.03550295857988166
94,gianni-vermeersch,5,0.04310344827586207
95,mads-wurtz-schmidt,21,0.168
96,andrey-amador,5,0.026041666666666668
97,tom-van-asbroeck,5,0.04065040650406504
98,alfred-wright,5,0.034013605442176874
99,christophe-laporte,12,0.0736196319018405
100,danny-van-poppel,24,0.12972972972972974
101,kenneth-van-rooy,9,0.12857142857142856
102,ben-swift,8,0.05673758865248227
103,guillaume-boivin,21,0.12138728323699421
104,gianni-moscon,17,0.11038961038961038
105,michael-morkov,4,0.019801980198019802
106,brandon-mcnulty,10,0.0546448087431694
107,tosh-van-der-sande,13,0.07262569832402235
108,hugo-houle,14,0.0673076923076923
109,michael-gogl,17,0.10493827160493827
110,peter-sagan,6,0.02843601895734597
111,jake-stewart,6,0.08955223880597014
112,mathias-norsgaard,7,0.07954545454545454
113,jonas-rickaert,5,0.056818181818181816
114,alexis-renard,12,0.15789473684210525
115,olav-kooij,1,0.017543859649122806
116,attila-valter,3,0.02586206896551724
117,andrea-pasqualon,13,0.06735751295336788
118,samuele-battistella,17,0.1504424778761062
119,andreas-kron,16,0.09876543209876543
120,stefan-bissegger,7,0.05555555555555555
121,tim-merlier,2,0.017857142857142856
122,stanislaw-aniolkowski,12,0.16
123,heinrich-haussler,11,0.0859375
124,finn-fisher-black,9,0.1836734693877551
125,arjen-livyns,17,0.20238095238095238
126,laurenz-rex,14,0.22950819672131148
127,barnabas-peak,16,0.17391304347826086
128,dries-de-bondt,6,0.047619047619047616
129,fabian-lienhard,9,0.08108108108108109
130,arne-marit,9,0.16666666666666666
131,attilio-viviani,6,0.06976744186046512
132,guy-sagiv,26,0.3170731707317073
133,jasper-de-buyst,13,0.08552631578947369
134,charlie-quarterman,5,0.14705882352941177
135,phil-bauhaus,11,0.0728476821192053
136,vegard-stake-laengen,16,0.0851063829787234
137,szymon-sajnok,14,0.12612612612612611
138,elia-viviani,6,0.028985507246376812
139,benjamin-thomas-2,5,0.04132231404958678
140,alexander-konychev,16,0.19753086419753085
141,mikkel-bjerg,9,0.05660377358490566
142,ryan-mullen,22,0.15827338129496402
143,toms-skujins,6,0.02857142857142857
144,dries-devenyns,21,0.0963302752293578
145,dylan-groenewegen,5,0.038461538461538464
146,cees-bol,10,0.05714285714285714
147,matteo-sobrero,14,0.10144927536231885
148,maciej-bodnar,30,0.16393442622950818
149,daniel-oss,19,0.09693877551020408
150,geraint-thomas,8,0.05063291139240506
151,thomas-de-gendt,19,0.06070287539936102
152,caleb-ewan,12,0.06741573033707865
153,jonathan-milan,12,0.2553191489361702
154,max-walscheid,3,0.014018691588785047
155,jakob-fuglsang,7,0.036458333333333336
156,emanuel-buchmann,9,0.05027932960893855
157,wout-poels,4,0.017391304347826087
158,thibaut-pinot,3,0.02040816326530612
159,dylan-teuns,8,0.041025641025641026
160,aleksey-lutsenko,8,0.04040404040404041
161,david-martin-romero,12,0.07100591715976332
162,romain-bardet,19,0.08225108225108226
163,warren-barguil,4,0.023809523809523808
164,xandro-meurisse,6,0.038461538461538464
165,sebastien-reichenbach,5,0.029239766081871343
166,hermann-pernsteiner,1,0.006289308176100629
167,guillaume-martin,0,0.0
168,gorka-izagirre,2,0.00851063829787234
169,magnus-cort-nielsen,10,0.04975124378109453
170,nicolas-edet,17,0.06367041198501873
171,rudy-molard,2,0.010362694300518135
172,simone-petilli,9,0.05454545454545454
173,mikael-cherel,7,0.04375
174,neilson-powless,5,0.024630541871921183
175,joey-rosskopf,3,0.025210084033613446
176,sepp-kuss,1,0.0041841004184100415
177,jack-haig,4,0.02962962962962963
178,michal-kwiatkowski,11,0.06547619047619048
179,damien-howson,12,0.07142857142857142
180,carl-fredrik-hagen,2,0.017241379310344827
181,nils-politt,5,0.026041666666666668
182,julian-alaphilippe,8,0.047058823529411764
183,alessandro-de-marchi,7,0.03932584269662921
184,ruben-fernandez,10,0.06369426751592357
185,david-gaudu,9,0.045
186,edvald-boasson-hagen,8,0.04145077720207254
187,eduardo-sepulveda,12,0.08823529411764706
188,julien-bernard,10,0.05235602094240838
189,wout-van-aert,8,0.05194805194805195
190,maxime-bouet,6,0.06060606060606061
191,matthieu-ladagnous,22,0.14473684210526316
192,felix-grossschartner,5,0.024390243902439025
193,lennard-hofstede,12,0.0821917808219178
194,jonas-koch,21,0.125
195,nick-schultz,14,0.07368421052631578
196,niklas-eg,5,0.03759398496240601
197,florian-stork,7,0.11864406779661017
198,jan-tratnik,10,0.05319148936170213
199,mark-padun,13,0.08280254777070063
200,quentin-pacher,6,0.037267080745341616
201,anthony-delaplace,8,0.05673758865248227
202,daryl-impey,7,0.042682926829268296
203,jens-keukeleire,13,0.07303370786516854
204,remi-cavagna,7,0.03111111111111111
205,stefan-de-bod,8,0.05517241379310345
206,benoit-cosnefroy,2,0.010582010582010581
207,kevin-ledanois,15,0.11811023622047244
208,cesare-benedetti,9,0.04072398190045249
209,imanol-erviti,9,0.039473684210526314
210,pascal-eenkhoorn,4,0.0380952380952381
211,clement-venturini,6,0.039473684210526314
212,adam-yates,7,0.03825136612021858
213,steven-kruijswijk,6,0.03571428571428571
214,gregor-muhlberger,13,0.07692307692307693
215,fabien-doubey,25,0.18382352941176472
216,alberto-bettiol,15,0.08571428571428572
217,michael-woods,7,0.038461538461538464
218,wilco-kelderman,6,0.029850746268656716
219,ion-izagirre,8,0.03418803418803419
220,ben-o-connor,3,0.01507537688442211
221,tao-geoghegan-hart,8,0.04519774011299435
222,enric-mas,2,0.008695652173913044
223,patrick-konrad,9,0.04522613065326633
224,aurelien-paret-peintre,4,0.024096385542168676
225,louis-meintjes,6,0.026785714285714284
226,ben-hermans,7,0.08860759493670886
227,mattias-skjelmose-jensen,1,0.014492753623188406
228,felix-gall,11,0.14285714285714285
229,joe-dombrowski,4,0.026143790849673203
230,kenny-elissonde,4,0.023121387283236993
231,jaakko-hanninen,6,0.048
232,carlos-rodriguez-cano,3,0.05
233,sylvain-moniquet,8,0.06779661016949153
234,tsgabu-gebremaryam-grmay,14,0.08383233532934131
