,rider_code,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat
0,tadej-pogacar,35,0,0,5,113.0,31.314285714285713,0.0,0.0,0.14285714285714285,3.2285714285714286
1,jonas-vingegaard-rasmussen,27,0,0,0,4.0,81.85185185185185,0.0,0.0,0.0,0.14814814814814814
2,mikel-landa,38,0,0,0,0.0,52.4054054054054,0.0,0.0,0.0,0.0
3,,0.0,,,,,,,,,
4,jai-hindley,40,0,0,0,0.0,56.05128205128205,0.0,0.0,0.0,0.0
5,thymen-arensman,35,0,0,0,0.0,73.8529411764706,0.0,0.0,0.0,0.0
6,damiano-caruso,40,0,0,0,0.0,70.375,0.0,0.0,0.0,0.0
7,thibaut-pinot,27,0,0,0,0.0,67.62962962962963,0.0,0.0,0.0,0.0
8,pello-bilbao,53,0,0,1,2.0,68.1923076923077,0.0,0.0,0.018867924528301886,0.03773584905660377
9,giulio-ciccone,40,0,0,0,4.0,78.475,0.0,0.0,0.0,0.1
10,remco-evenepoel,29,1,1,2,130.0,59.75,0.034482758620689655,0.034482758620689655,0.06896551724137931,4.482758620689655
11,romain-bardet,51,0,0,1,43.0,59.64705882352941,0.0,0.0,0.0196078431372549,0.8431372549019608
12,rigoberto-uran,34,0,0,0,0.0,61.39393939393939,0.0,0.0,0.0,0.0
13,marc-soler,43,0,0,0,0.0,78.62790697674419,0.0,0.0,0.0,0.0
14,victor-lafay,18,0,0,0,0.0,119.6875,0.0,0.0,0.0,0.0
15,cristian-rodriguez,17,0,0,0,0.0,95.0625,0.0,0.0,0.0,0.0
16,lorenzo-fortunato,18,0,0,0,0.0,82.38888888888889,0.0,0.0,0.0,0.0
17,wilco-kelderman,40,0,0,1,14.0,48.60526315789474,0.0,0.0,0.025,0.35
18,warren-barguil,32,0,0,2,57.0,68.03225806451613,0.0,0.0,0.0625,1.78125
19,geoffrey-bouchard,42,0,0,0,0.0,94.35714285714286,0.0,0.0,0.0,0.0
20,bob-jungels,48,1,2,2,275.0,67.61702127659575,0.020833333333333332,0.041666666666666664,0.041666666666666664,5.729166666666667
21,lorenzo-rota,25,0,0,0,0.0,101.56,0.0,0.0,0.0,0.0
22,rafal-majka,42,0,0,1,2.0,81.39024390243902,0.0,0.0,0.023809523809523808,0.047619047619047616
23,eduardo-sepulveda,27,0,0,0,0.0,83.79166666666667,0.0,0.0,0.0,0.0
24,emanuel-buchmann,45,0,0,0,0.0,65.8,0.0,0.0,0.0,0.0
25,alex-aranburu,34,0,1,5,234.0,65.6969696969697,0.0,0.029411764705882353,0.14705882352941177,6.882352941176471
26,jefferson-alexander-cepeda,15,0,0,0,0.0,110.33333333333333,0.0,0.0,0.0,0.0
27,maxime-bouet,19,0,0,0,0.0,101.88888888888889,0.0,0.0,0.0,0.0
28,nelson-oliveira,47,0,0,0,5.0,81.6086956521739,0.0,0.0,0.0,0.10638297872340426
29,julian-alaphilippe,31,1,2,3,105.0,72.8,0.03225806451612903,0.06451612903225806,0.0967741935483871,3.3870967741935485
30,koen-bouwman,35,0,0,0,0.0,93.62857142857143,0.0,0.0,0.0,0.0
31,simone-velasco,13,0,0,0,9.0,49.61538461538461,0.0,0.0,0.0,0.6923076923076923
