,rider_code,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,avg_rnk_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc
0,laurens-de-plus,8,1,1,2,435.0,62.142857142857146,0.125,0.125,0.25,54.375
1,oliver-naesen,10,0,1,1,340.0,34.0,0.0,0.1,0.1,34.0
2,tim-wellens,8,0,1,4,588.0,73.5,0.0,0.125,0.5,73.5
3,greg-van-avermaet,11,0,0,1,285.0,25.90909090909091,0.0,0.0,0.09090909090909091,25.90909090909091
4,marc-hirschi,13,0,0,1,343.0,26.384615384615383,0.0,0.0,0.07692307692307693,26.384615384615383
5,mike-teunissen,7,0,0,2,260.0,37.142857142857146,0.0,0.0,0.2857142857142857,37.142857142857146
6,ivan-garcia-cortina,10,0,0,1,180.0,20.0,0.0,0.0,0.1,18.0
7,stefan-kung,13,0,0,3,463.0,35.61538461538461,0.0,0.0,0.23076923076923078,35.61538461538461
8,simon-clarke,12,0,0,2,250.0,25.0,0.0,0.0,0.16666666666666666,20.833333333333332
9,,0.0,,,,,,,,,
10,fabio-felline,8,0,0,0,203.0,25.375,0.0,0.0,0.0,25.375
11,sep-vanmarcke,6,0,0,0,75.0,15.0,0.0,0.0,0.0,12.5
12,dion-smith,11,0,0,0,160.0,17.77777777777778,0.0,0.0,0.0,14.545454545454545
13,zdenek-stybar,9,0,0,0,125.0,13.88888888888889,0.0,0.0,0.0,13.88888888888889
14,ruben-guerreiro,11,0,0,2,486.0,44.18181818181818,0.0,0.0,0.18181818181818182,44.18181818181818
15,dylan-van-baarle,14,0,0,0,299.0,21.357142857142858,0.0,0.0,0.0,21.357142857142858
16,martijn-tusveld,12,0,0,1,218.0,19.818181818181817,0.0,0.0,0.08333333333333333,18.166666666666668
17,florian-senechal,7,0,0,0,69.0,13.8,0.0,0.0,0.0,9.857142857142858
18,stan-dewulf,7,0,0,0,92.0,13.142857142857142,0.0,0.0,0.0,13.142857142857142
19,lukas-postlberger,8,0,0,0,88.0,11.0,0.0,0.0,0.0,11.0
20,timo-roosen,10,0,0,0,54.0,5.4,0.0,0.0,0.0,5.4
21,nico-denz,11,0,0,0,112.0,11.2,0.0,0.0,0.0,10.181818181818182
22,kevin-geniets,7,0,0,0,70.0,10.0,0.0,0.0,0.0,10.0
23,jenthe-biermans,7,0,0,0,56.0,11.2,0.0,0.0,0.0,8.0
24,tim-declercq,10,0,0,0,105.0,10.5,0.0,0.0,0.0,10.5
25,lawrence-warbasse,13,0,0,0,90.0,7.5,0.0,0.0,0.0,6.923076923076923
26,jack-bauer,8,0,0,0,72.0,10.285714285714286,0.0,0.0,0.0,9.0
27,mads-pedersen,10,0,0,0,120.0,13.333333333333334,0.0,0.0,0.0,12.0
28,valentin-madouas,11,0,0,1,517.0,47.0,0.0,0.0,0.09090909090909091,47.0
29,robert-stannard,10,0,0,0,85.0,10.625,0.0,0.0,0.0,8.5
30,amaury-capiot,2,0,0,0,30.0,15.0,0.0,0.0,0.0,15.0
31,casper-pedersen,10,0,0,0,90.0,12.857142857142858,0.0,0.0,0.0,9.0
32,davide-ballerini,9,0,0,0,80.0,8.88888888888889,0.0,0.0,0.0,8.88888888888889
33,milan-menten,2,0,0,0,10.0,5.0,0.0,0.0,0.0,5.0
34,piet-allegaert,3,0,0,0,30.0,10.0,0.0,0.0,0.0,10.0
35,jasha-sutterlin,13,0,0,0,120.0,10.0,0.0,0.0,0.0,9.23076923076923
36,carlos-verona,17,0,0,1,530.0,31.176470588235293,0.0,0.0,0.058823529411764705,31.176470588235293
37,michael-schar,15,0,0,0,138.0,9.2,0.0,0.0,0.0,9.2
38,callum-scotson,11,0,0,0,130.0,13.0,0.0,0.0,0.0,11.818181818181818
39,jasper-philipsen,7,0,0,0,90.0,12.857142857142858,0.0,0.0,0.0,12.857142857142858
40,aime-de-gendt,6,0,0,0,78.0,13.0,0.0,0.0,0.0,13.0
41,jos-van-emden,13,0,0,0,75.0,8.333333333333334,0.0,0.0,0.0,5.769230769230769
42,edoardo-affini,7,0,0,0,65.0,9.285714285714286,0.0,0.0,0.0,9.285714285714286
43,sam-bennett,22,0,0,0,185.0,9.25,0.0,0.0,0.0,8.409090909090908
44,lukasz-wisniowski,10,0,0,0,100.0,10.0,0.0,0.0,0.0,10.0
45,guillaume-van-keirsbulck,5,0,0,0,45.0,9.0,0.0,0.0,0.0,9.0
46,gijs-van-hoecke,6,0,0,0,30.0,5.0,0.0,0.0,0.0,5.0
47,ryan-gibbons,8,0,0,0,141.0,20.142857142857142,0.0,0.0,0.0,17.625
48,kristoffer-halvorsen,5,0,0,0,25.0,5.0,0.0,0.0,0.0,5.0
49,leonardo-basso,6,0,0,0,30.0,5.0,0.0,0.0,0.0,5.0
50,edward-theuns,13,0,0,0,130.0,10.833333333333334,0.0,0.0,0.0,10.0
51,boy-van-poppel,7,0,0,0,50.0,8.333333333333334,0.0,0.0,0.0,7.142857142857143
52,wesley-kreder,5,0,0,0,70.0,14.0,0.0,0.0,0.0,14.0
53,reto-hollenstein,12,0,0,0,125.0,10.416666666666666,0.0,0.0,0.0,10.416666666666666
54,dmitriy-gruzdev,13,0,0,0,115.0,9.583333333333334,0.0,0.0,0.0,8.846153846153847
55,oscar-riesebeek,7,0,0,0,76.0,10.857142857142858,0.0,0.0,0.0,10.857142857142858
56,dries-van-gestel,2,0,0,0,10.0,5.0,0.0,0.0,0.0,5.0
57,baptiste-planckaert,2,0,0,0,10.0,5.0,0.0,0.0,0.0,5.0
58,ludovic-robeet,2,0,0,0,10.0,5.0,0.0,0.0,0.0,5.0
59,tom-bohli,12,0,0,0,75.0,6.25,0.0,0.0,0.0,6.25
60,aaron-verwilst,1,0,0,0,5.0,5.0,0.0,0.0,0.0,5.0
61,edward-planckaert,5,0,0,0,60.0,12.0,0.0,0.0,0.0,12.0
62,arnaud-demare,10,0,0,0,95.0,9.5,0.0,0.0,0.0,9.5
63,rui-oliveira,7,0,0,0,80.0,11.428571428571429,0.0,0.0,0.0,11.428571428571429
64,dorian-godon,11,0,0,0,134.0,13.4,0.0,0.0,0.0,12.181818181818182
65,josef-cerny,12,0,0,0,75.0,8.333333333333334,0.0,0.0,0.0,6.25
66,jakub-mareczko,4,0,0,0,15.0,5.0,0.0,0.0,0.0,3.75
67,adrien-petit,6,0,0,0,45.0,9.0,0.0,0.0,0.0,7.5
68,miles-scotson,11,0,0,0,90.0,10.0,0.0,0.0,0.0,8.181818181818182
69,ramon-sinkeldam,9,0,0,0,85.0,10.625,0.0,0.0,0.0,9.444444444444445
70,juan-sebastian-molano,10,0,0,0,85.0,10.625,0.0,0.0,0.0,8.5
71,alex-kirsch,8,0,0,0,91.0,13.0,0.0,0.0,0.0,11.375
72,matteo-moschetti,9,0,0,0,50.0,7.142857142857143,0.0,0.0,0.0,5.555555555555555
73,alvaro-jose-hodeg,4,0,0,0,10.0,5.0,0.0,0.0,0.0,2.5
74,bob-jungels,14,0,0,2,511.0,39.30769230769231,0.0,0.0,0.14285714285714285,36.5
75,soren-kragh-andersen,6,0,0,0,72.0,14.4,0.0,0.0,0.0,12.0
76,yevgeniy-gidich,9,0,0,0,25.0,5.0,0.0,0.0,0.0,2.7777777777777777
77,manuele-boaro,11,0,0,0,70.0,8.75,0.0,0.0,0.0,6.363636363636363
78,filippo-ganna,11,0,0,0,85.0,8.5,0.0,0.0,0.0,7.7272727272727275
79,lionel-taminiaux,3,0,0,0,25.0,12.5,0.0,0.0,0.0,8.333333333333334
80,tom-devriendt,3,0,0,0,10.0,5.0,0.0,0.0,0.0,3.3333333333333335
81,hector-carretero,10,0,0,0,50.0,7.142857142857143,0.0,0.0,0.0,5.0
82,lluis-guillermo-mas,7,0,0,0,72.0,12.0,0.0,0.0,0.0,10.285714285714286
83,remy-mertz,3,0,0,0,25.0,12.5,0.0,0.0,0.0,8.333333333333334
84,frederik-frison,6,0,0,0,65.0,13.0,0.0,0.0,0.0,10.833333333333334
85,senne-leysen,9,0,0,0,70.0,8.75,0.0,0.0,0.0,7.777777777777778
86,julius-van-den-berg,12,0,0,0,115.0,10.454545454545455,0.0,0.0,0.0,9.583333333333334
87,matej-mohoric,10,0,2,2,550.0,55.0,0.0,0.2,0.2,55.0
88,victor-campenaerts,6,0,1,1,213.0,35.5,0.0,0.16666666666666666,0.16666666666666666,35.5
89,luke-durbridge,10,0,0,1,225.0,22.5,0.0,0.0,0.1,22.5
90,jasper-stuyven,11,0,0,1,225.0,22.5,0.0,0.0,0.09090909090909091,20.454545454545453
