,rider_code,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day
0,elia-viviani,33,6,9,13,1374.0,36.55172413793103,0.18181818181818182,0.2727272727272727,0.3939393939393939,41.63636363636363
1,caleb-ewan,23,3,10,12,1301.0,12.285714285714286,0.13043478260869565,0.43478260869565216,0.5217391304347826,56.56521739130435
2,daryl-impey,35,0,3,3,524.0,50.142857142857146,0.0,0.08571428571428572,0.08571428571428572,14.971428571428572
3,ryan-gibbons,51,1,2,4,400.0,44.90243902439025,0.0196078431372549,0.0392156862745098,0.0784313725490196,7.8431372549019605
4,,0.0,,,,,,,,,
5,luke-rowe,47,0,0,2,301.0,69.61290322580645,0.0,0.0,0.0425531914893617,6.404255319148936
6,michael-morkov,25,0,1,6,456.0,29.545454545454547,0.0,0.04,0.24,18.24
7,owain-doull,58,0,1,3,327.0,61.44444444444444,0.0,0.017241379310344827,0.05172413793103448,5.637931034482759
8,luis-leon-sanchez,29,1,2,4,278.0,45.96153846153846,0.034482758620689655,0.06896551724137931,0.13793103448275862,9.586206896551724
9,benoit-cosnefroy,50,4,11,19,1936.0,24.354166666666668,0.08,0.22,0.38,38.72
10,robert-gesink,17,0,0,0,119.0,45.0625,0.0,0.0,0.0,7.0
11,diego-ulissi,62,1,6,21,1418.0,20.982456140350877,0.016129032258064516,0.0967741935483871,0.3387096774193548,22.870967741935484
12,kenny-elissonde,13,0,0,1,95.0,36.72727272727273,0.0,0.0,0.07692307692307693,7.3076923076923075
13,ruben-guerreiro,24,1,1,3,306.0,28.789473684210527,0.041666666666666664,0.041666666666666664,0.125,12.75
14,chris-hamilton,24,0,0,0,93.0,54.73684210526316,0.0,0.0,0.0,3.875
15,wout-poels,17,0,0,1,164.0,53.714285714285715,0.0,0.0,0.058823529411764705,9.647058823529411
16,sven-erik-bystrom,57,0,0,1,329.0,51.4375,0.0,0.0,0.017543859649122806,5.771929824561403
17,alberto-bettiol,53,1,1,9,1109.0,39.83783783783784,0.018867924528301886,0.018867924528301886,0.16981132075471697,20.92452830188679
18,nico-denz,44,0,0,0,125.0,76.32,0.0,0.0,0.0,2.840909090909091
19,jan-polanc,49,1,1,3,363.0,45.06060606060606,0.02040816326530612,0.02040816326530612,0.061224489795918366,7.408163265306122
20,joey-rosskopf,27,0,0,0,64.0,55.44,0.0,0.0,0.0,2.3703703703703702
21,george-bennett,25,1,2,4,474.0,38.8235294117647,0.04,0.08,0.16,18.96
22,pierre-latour,36,0,0,6,344.0,35.44444444444444,0.0,0.0,0.16666666666666666,9.555555555555555
23,jai-hindley,25,0,0,1,142.0,38.75,0.0,0.0,0.04,5.68
24,michael-woods,35,1,5,17,1489.0,17.321428571428573,0.02857142857142857,0.14285714285714285,0.4857142857142857,42.542857142857144
25,lucas-hamilton,12,0,0,0,56.0,51.333333333333336,0.0,0.0,0.0,4.666666666666667
26,remi-cavagna,30,1,1,1,196.0,59.458333333333336,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.533333333333333
27,thomas-scully,50,0,0,0,95.0,86.5,0.0,0.0,0.0,1.9
28,pavel-sivakov,19,0,2,2,384.0,57.0625,0.0,0.10526315789473684,0.10526315789473684,20.210526315789473
29,dion-smith,33,1,1,5,409.0,39.76,0.030303030303030304,0.030303030303030304,0.15151515151515152,12.393939393939394
30,alexander-edmondson,34,0,0,0,77.0,81.375,0.0,0.0,0.0,2.264705882352941
31,marco-haller,60,1,1,5,643.0,47.58139534883721,0.016666666666666666,0.016666666666666666,0.08333333333333333,10.716666666666667
32,daniel-oss,47,0,0,0,157.0,59.42857142857143,0.0,0.0,0.0,3.3404255319148937
33,dries-devenyns,53,1,1,3,363.0,61.27777777777778,0.018867924528301886,0.018867924528301886,0.05660377358490566,6.849056603773585
