,rider_code,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial
0,richard-carapaz,18,0,0,3,38.0,30.944444444444443,0.0,0.0,0.16666666666666666,2.111111111111111
1,,0.0,,,,,,,,,
2,primoz-roglic,20,10,13,18,1146.0,3.75,0.5,0.65,0.9,57.3
3,mikel-landa,14,0,0,0,2.0,50.785714285714285,0.0,0.0,0.0,0.14285714285714285
4,bauke-mollema,16,0,1,5,124.0,29.75,0.0,0.0625,0.3125,7.75
5,rafal-majka,18,0,0,1,18.0,59.55555555555556,0.0,0.0,0.05555555555555555,1.0
6,simon-yates,11,1,2,2,100.0,39.27272727272727,0.09090909090909091,0.18181818181818182,0.18181818181818182,9.090909090909092
7,pavel-sivakov,13,0,0,1,19.0,31.615384615384617,0.0,0.0,0.07692307692307693,1.4615384615384615
8,hugh-carthy,17,0,0,3,41.0,34.1764705882353,0.0,0.0,0.17647058823529413,2.411764705882353
9,joe-dombrowski,15,0,0,0,0.0,82.86666666666666,0.0,0.0,0.0,0.0
10,valentin-madouas,15,0,0,0,0.0,74.46666666666667,0.0,0.0,0.0,0.0
11,jan-polanc,14,0,0,0,13.0,28.428571428571427,0.0,0.0,0.0,0.9285714285714286
12,davide-formolo,16,0,0,0,0.0,50.125,0.0,0.0,0.0,0.0
13,giulio-ciccone,16,0,0,0,0.0,90.93333333333334,0.0,0.0,0.0,0.0
14,fausto-masnada,12,0,0,1,7.0,37.833333333333336,0.0,0.0,0.08333333333333333,0.5833333333333334
15,victor-de-la-parte,13,0,0,0,4.0,57.15384615384615,0.0,0.0,0.0,0.3076923076923077
16,edward-irl-dunbar,9,0,0,0,10.0,56.333333333333336,0.0,0.0,0.0,1.1111111111111112
17,damiano-caruso,16,0,0,5,69.0,26.5625,0.0,0.0,0.3125,4.3125
18,lucas-hamilton,18,0,0,0,0.0,53.388888888888886,0.0,0.0,0.0,0.0
19,andrey-zeits,13,0,0,0,0.0,85.6923076923077,0.0,0.0,0.0,0.0
20,jan-hirt,20,0,0,0,0.0,99.05263157894737,0.0,0.0,0.0,0.0
21,mattia-cattaneo,16,0,1,10,139.0,14.25,0.0,0.0625,0.625,8.6875
22,alexis-vuillermoz,12,0,0,0,0.0,89.1,0.0,0.0,0.0,0.0
23,francois-bidard,12,0,0,0,0.0,119.91666666666667,0.0,0.0,0.0,0.0
24,pello-bilbao,21,0,0,3,43.0,32.0,0.0,0.0,0.14285714285714285,2.0476190476190474
25,ben-o-connor,17,0,0,1,5.0,37.375,0.0,0.0,0.058823529411764705,0.29411764705882354
26,bob-jungels,18,0,0,3,48.0,26.27777777777778,0.0,0.0,0.16666666666666666,2.6666666666666665
27,chris-hamilton,17,0,0,0,0.0,73.6470588235294,0.0,0.0,0.0,0.0
28,jai-hindley,15,0,0,0,1.0,50.46666666666667,0.0,0.0,0.0,0.06666666666666667
29,ion-izagirre,22,0,1,4,43.0,34.095238095238095,0.0,0.045454545454545456,0.18181818181818182,1.9545454545454546
30,pieter-serry,11,0,0,0,0.0,56.27272727272727,0.0,0.0,0.0,0.0
31,andrey-amador,17,0,0,0,0.0,80.11764705882354,0.0,0.0,0.0,0.0
32,johan-esteban-chaves,15,0,0,0,0.0,65.4,0.0,0.0,0.0,0.0
33,koen-bouwman,16,0,0,0,0.0,52.6875,0.0,0.0,0.0,0.0
34,diego-ulissi,16,0,0,0,2.0,36.0625,0.0,0.0,0.0,0.125
35,ivan-ramiro-sosa,8,0,0,0,0.0,116.75,0.0,0.0,0.0,0.0
36,amanuel-ghebreigzabhier,11,0,0,0,10.0,78.27272727272727,0.0,0.0,0.0,0.9090909090909091
37,antonio-pedrero,15,0,0,0,0.0,109.13333333333334,0.0,0.0,0.0,0.0
38,dario-cataldo,19,0,0,0,0.0,66.42105263157895,0.0,0.0,0.0,0.0
39,gianluca-brambilla,17,0,0,0,0.0,96.05882352941177,0.0,0.0,0.0,0.0
40,jose-joaquin-rojas,15,0,0,0,0.0,108.33333333333333,0.0,0.0,0.0,0.0
41,thomas-de-gendt,25,0,2,4,122.0,34.8,0.0,0.08,0.16,4.88
42,lawrence-warbasse,16,0,0,0,0.0,66.33333333333333,0.0,0.0,0.0,0.0
43,andrea-vendrame,15,0,0,0,0.0,77.93333333333334,0.0,0.0,0.0,0.0
44,sepp-kuss,21,0,0,1,6.0,68.61904761904762,0.0,0.0,0.047619047619047616,0.2857142857142857
45,giovanni-carboni,7,0,0,0,0.0,107.85714285714286,0.0,0.0,0.0,0.0
46,nans-peters,17,0,0,0,0.0,74.41176470588235,0.0,0.0,0.0,0.0
47,nicola-conci,12,0,0,0,0.0,86.41666666666667,0.0,0.0,0.0,0.0
48,tosh-van-der-sande,15,0,0,0,0.0,123.93333333333334,0.0,0.0,0.0,0.0
49,antwan-tolhoek,14,0,0,0,0.0,108.07142857142857,0.0,0.0,0.0,0.0
50,christopher-juul-jensen,16,0,0,0,0.0,77.6875,0.0,0.0,0.0,0.0
51,lukasz-owsian,12,0,0,0,0.0,91.0,0.0,0.0,0.0,0.0
52,cesare-benedetti,18,0,0,0,0.0,104.55555555555556,0.0,0.0,0.0,0.0
53,antonio-nibali,14,0,0,0,0.0,121.5,0.0,0.0,0.0,0.0
54,kristian-sbaragli,12,0,0,0,0.0,123.36363636363636,0.0,0.0,0.0,0.0
55,luke-durbridge,17,0,0,1,42.0,29.0,0.0,0.0,0.058823529411764705,2.4705882352941178
56,jhonatan-narvaez,13,0,0,0,0.0,94.46153846153847,0.0,0.0,0.0,0.0
