,team_code_2023,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,avg_rnk_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc
0,team-jumbo-visma-2023,268,11,19,40,11801.0,47.58467741935484,0.041044776119402986,0.0708955223880597,0.14925373134328357,44.03358208955224
1,ag2r-citroen-team-2023,269,0,2,16,5694.0,22.2421875,0.0,0.007434944237918215,0.05947955390334572,21.16728624535316
2,lotto-dstny-2023,254,0,1,7,3665.0,16.735159817351597,0.0,0.003937007874015748,0.027559055118110236,14.429133858267717
3,,0.0,,,,,,,,,
4,team-dsm-2023,262,0,2,22,5749.0,23.954166666666666,0.0,0.007633587786259542,0.08396946564885496,21.942748091603054
5,bahrain-victorious-2023,275,1,14,41,10508.0,40.57142857142857,0.0036363636363636364,0.05090909090909091,0.14909090909090908,38.21090909090909
6,groupama-fdj-2023,271,0,1,15,6113.0,23.785992217898833,0.0,0.0036900369003690036,0.055350553505535055,22.55719557195572
7,ef-education-easypost-2023,269,0,5,24,7333.0,30.301652892561982,0.0,0.01858736059479554,0.08921933085501858,27.260223048327138
8,q365-pro-cycing-team,180,0,1,3,2407.0,14.950310559006212,0.0,0.005555555555555556,0.016666666666666666,13.372222222222222
9,trek-segafredo-2023,282,0,2,11,5407.0,20.637404580152673,0.0,0.0070921985815602835,0.03900709219858156,19.173758865248228
10,soudal-quick-step-2023,294,4,7,26,7405.0,28.48076923076923,0.013605442176870748,0.023809523809523808,0.08843537414965986,25.187074829931973
11,team-jayco-alula-2023,266,1,6,22,6660.0,27.295081967213115,0.0037593984962406013,0.022556390977443608,0.08270676691729323,25.037593984962406
12,ineos-grenadiers-2023,286,12,32,53,13885.0,51.04779411764706,0.04195804195804196,0.11188811188811189,0.1853146853146853,48.54895104895105
13,bora-hansgrohe-2023,289,5,10,42,10003.0,38.32567049808429,0.01730103806228374,0.03460207612456748,0.1453287197231834,34.61245674740484
14,uae-team-emirates-2023,284,8,18,36,10668.0,39.80597014925373,0.028169014084507043,0.06338028169014084,0.1267605633802817,37.563380281690144
15,team-flanders--baloise-2023,18,0,0,0,90.0,5.294117647058823,0.0,0.0,0.0,5.0
16,astana-qazaqstan-team-2023,290,3,9,28,8370.0,31.58490566037736,0.010344827586206896,0.03103448275862069,0.09655172413793103,28.862068965517242
17,movistar-team-2023,281,1,6,30,8955.0,34.7093023255814,0.0035587188612099642,0.021352313167259787,0.10676156583629894,31.868327402135233
18,intermarche-circus-wanty-2023,193,0,0,8,3853.0,22.14367816091954,0.0,0.0,0.04145077720207254,19.963730569948186
19,team-totalenergies-2023,109,0,0,0,1488.0,15.030303030303031,0.0,0.0,0.0,13.65137614678899
20,bingoal-wb-2023,10,0,0,0,45.0,5.0,0.0,0.0,0.0,4.5
21,alpecin-deceuninck-2023,95,0,0,1,1298.0,14.108695652173912,0.0,0.0,0.010526315789473684,13.663157894736843
22,israel-premier-tech-2023,191,0,1,5,3035.0,16.955307262569832,0.0,0.005235602094240838,0.02617801047120419,15.890052356020943
23,cofidis-2023,207,0,2,11,4199.0,21.869791666666668,0.0,0.00966183574879227,0.05314009661835749,20.285024154589372
24,team-arkea-samsic-2023,99,0,0,4,2206.0,22.979166666666668,0.0,0.0,0.04040404040404041,22.282828282828284
25,uno-x-pro-cycling-team-2023,15,0,0,3,319.0,22.785714285714285,0.0,0.0,0.2,21.266666666666666
26,green-project-bardiani-csf-faizane-2023,45,0,0,0,555.0,12.333333333333334,0.0,0.0,0.0,12.333333333333334
27,eolo-kometa-2023,28,0,0,0,543.0,19.392857142857142,0.0,0.0,0.0,19.392857142857142
28,caja-rural-seguros-rga-2023,57,0,0,1,636.0,13.53191489361702,0.0,0.0,0.017543859649122806,11.157894736842104
29,burgos-bh-2023,57,0,0,0,826.0,17.956521739130434,0.0,0.0,0.0,14.491228070175438
30,equipo-kern-pharma-2023,25,0,0,0,195.0,9.75,0.0,0.0,0.0,7.8
31,euskaltel-euskadi-2023,39,0,0,0,465.0,13.285714285714286,0.0,0.0,0.0,11.923076923076923
32,team-novo-nordisk-2023,22,0,0,0,105.0,5.0,0.0,0.0,0.0,4.7727272727272725
33,human-powered-health-2023,36,0,0,1,370.0,10.882352941176471,0.0,0.0,0.027777777777777776,10.277777777777779
34,tudor-pro-cycling-team-2023,7,0,0,0,48.0,6.857142857142857,0.0,0.0,0.0,6.857142857142857
