,team_name,circuit,country,team_code,bike,groupset,wheels,saddle,tyres,pedals,powermeter,sunglasses,helmets,shoes,bartape,kit,sports_nutrition,cycling_computer,hometrainer,team_code_2023_x,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat,team_code_2023_y,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb,team_code_2023_x,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial,team_code_2023_y,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,avg_rnk_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc,team_code_2023_x,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day,team_code_2023_y,nb_dnf_otl,pct_dnf_otl
0,bora - hansgrohe,worldteams,germany,bora-hansgrohe-2023,specialized,shimano,roval,specialized,,,,100%,specialized,,,le colroeckl,,wahoo,,bora-hansgrohe-2023,1312.0,23.0,73.0,139.0,6916.0,68.75698560541913,0.017530487804878,0.055640243902439,0.1059451219512195,5.271341463414634,bora-hansgrohe-2023,2888.0,36.0,98.0,316.0,12393.0,70.8979357798165,0.0124653739612188,0.0339335180055401,0.1094182825484764,4.291204986149585,bora-hansgrohe-2023,327.0,2.0,4.0,21.0,294.0,72.88198757763975,0.0061162079510703,0.0122324159021406,0.0642201834862385,0.8990825688073395,bora-hansgrohe-2023,289.0,5.0,10.0,42.0,10003.0,38.32567049808429,0.0173010380622837,0.0346020761245674,0.1453287197231834,34.61245674740484,bora-hansgrohe-2023,1135.0,13.0,43.0,113.0,10727.0,54.88737623762376,0.011453744493392,0.037885462555066,0.0995594713656387,9.451101321585902,bora-hansgrohe-2023,344.0,0.0759885133642589
1,cofidis,worldteams,france,cofidis-2023,look,shimano,corima,selle italia,michelin,,,ekoï,ekoï,,,van rysel,,wahoo,,cofidis-2023,1231.0,6.0,18.0,90.0,3983.0,75.32360984503191,0.0048740861088545,0.0146222583265637,0.0731112916328188,3.2355808285946384,cofidis-2023,2796.0,14.0,50.0,161.0,7398.0,73.71747805267358,0.0050071530758226,0.0178826895565093,0.0575822603719599,2.645922746781116,cofidis-2023,262.0,0.0,1.0,4.0,39.0,90.35135135135135,0.0,0.0038167938931297,0.015267175572519,0.148854961832061,cofidis-2023,207.0,0.0,2.0,11.0,4199.0,21.869791666666668,0.0,0.0096618357487922,0.0531400966183574,20.28502415458937,cofidis-2023,1537.0,15.0,38.0,133.0,8838.0,54.39355385920271,0.0097592713077423,0.0247234873129473,0.0865322055953155,5.750162654521795,cofidis-2023,387.0,0.0902308230356726
2,ef education-easypost,worldteams,usa,ef-education-easypost-2023,cannondale,shimano,vision,prologo,vittoria,,,poc,poc,,,rapha,,wahoo,wahoo,ef-education-easypost-2023,1056.0,3.0,7.0,34.0,1721.0,79.2730964467005,0.002840909090909,0.0066287878787878,0.0321969696969696,1.6297348484848484,ef-education-easypost-2023,2790.0,26.0,57.0,203.0,9505.0,69.63088587390263,0.0093189964157706,0.0204301075268817,0.0727598566308243,3.4068100358422937,ef-education-easypost-2023,310.0,4.0,11.0,41.0,832.0,53.84789644012945,0.0129032258064516,0.0354838709677419,0.132258064516129,2.683870967741936,ef-education-easypost-2023,269.0,0.0,5.0,24.0,7333.0,30.301652892561982,0.0,0.0185873605947955,0.0892193308550185,27.260223048327138,ef-education-easypost-2023,932.0,11.0,24.0,73.0,7578.0,55.37369207772795,0.0118025751072961,0.0257510729613733,0.0783261802575107,8.130901287553648,ef-education-easypost-2023,308.0,0.0741097208854668
3,groupama - fdj,worldteams,france,groupama-fdj-2023,lapierre,shimano,shimano,prologo,continental,,,julbo,giro,,,alé,apurna,garmin,,groupama-fdj-2023,1159.0,14.0,24.0,88.0,4173.0,72.17927170868347,0.0120793787748058,0.0207075064710957,0.0759275237273511,3.6005176876617773,groupama-fdj-2023,2844.0,12.0,48.0,188.0,8365.0,70.77011936850212,0.0042194092827004,0.0168776371308016,0.0661040787623066,2.9412798874824198,groupama-fdj-2023,324.0,2.0,6.0,23.0,456.0,71.62229102167183,0.0061728395061728,0.0185185185185185,0.0709876543209876,1.4074074074074074,groupama-fdj-2023,271.0,0.0,1.0,15.0,6113.0,23.785992217898837,0.0,0.003690036900369,0.055350553505535,22.55719557195572,groupama-fdj-2023,1115.0,9.0,31.0,111.0,8828.0,49.53199052132702,0.0080717488789237,0.0278026905829596,0.0995515695067264,7.917488789237668,groupama-fdj-2023,301.0,0.0695632077651952
4,ineos grenadiers,worldteams,united kingdom,ineos-grenadiers-2023,pinarello,shimano,shimano,fizik,continental,,,sungod,kask,,,bioracer,sis,garmin,,ineos-grenadiers-2023,1056.0,1.0,8.0,42.0,2221.0,75.60422960725076,0.0009469696969696,0.0075757575757575,0.0397727272727272,2.103219696969697,ineos-grenadiers-2023,2779.0,29.0,87.0,289.0,12556.0,60.12028301886792,0.010435408420295,0.0313062252608852,0.1039942425332853,4.5181720043181,ineos-grenadiers-2023,328.0,9.0,21.0,68.0,1402.0,55.833333333333336,0.0274390243902439,0.0640243902439024,0.2073170731707317,4.274390243902439,ineos-grenadiers-2023,286.0,12.0,32.0,53.0,13885.0,51.04779411764706,0.0419580419580419,0.1118881118881118,0.1853146853146853,48.54895104895105,ineos-grenadiers-2023,809.0,10.0,29.0,85.0,9281.0,52.5719298245614,0.0123609394313967,0.0358467243510506,0.1050679851668726,11.472187886279356,ineos-grenadiers-2023,268.0,0.0643766514532788
5,intermarche - circus - wanty,worldteams,belgium,intermarche-circus-wanty-2023,cube,shimano,shimano,prologo,continental,,,uvex sports,uvex sports,gaerne,prologo,nalini,,bryton,bryton,intermarche-circus-wanty-2023,1276.0,9.0,34.0,122.0,5545.0,64.65709156193896,0.0070532915360501,0.0266457680250783,0.0956112852664576,4.3456112852664575,intermarche-circus-wanty-2023,2295.0,14.0,44.0,169.0,7708.0,66.75523760858457,0.0061002178649237,0.0191721132897603,0.0736383442265795,3.3586056644880173,intermarche-circus-wanty-2023,227.0,0.0,0.0,1.0,14.0,92.7433628318584,0.0,0.0,0.0044052863436123,0.0616740088105726,intermarche-circus-wanty-2023,193.0,0.0,0.0,8.0,3853.0,22.14367816091954,0.0,0.0,0.0414507772020725,19.963730569948183,intermarche-circus-wanty-2023,1583.0,16.0,55.0,172.0,11062.0,50.606529209622,0.0101073910296904,0.0347441566645609,0.1086544535691724,6.987997473152243,intermarche-circus-wanty-2023,458.0,0.1204312384959242
6,team jumbo visma,worldteams,netherlands,team-jumbo-visma-2023,cervélo,sram,reserve wheels,fizik,vittoria,speedplay,,oakley,lazer,nimbl,fsa,agu,amacx,garmin,,team-jumbo-visma-2023,1054.0,18.0,51.0,107.0,6187.0,66.79642502482622,0.01707779886148,0.0483870967741935,0.1015180265654649,5.870018975332068,team-jumbo-visma-2023,2531.0,45.0,128.0,268.0,13626.0,63.88860652265989,0.0177795337811141,0.0505728960885025,0.1058870011853022,5.383642828921375,team-jumbo-visma-2023,308.0,14.0,33.0,61.0,2096.0,57.37541528239203,0.0454545454545454,0.1071428571428571,0.198051948051948,6.805194805194805,team-jumbo-visma-2023,268.0,11.0,19.0,40.0,11801.0,47.58467741935484,0.0410447761194029,0.0708955223880597,0.1492537313432835,44.03358208955224,team-jumbo-visma-2023,689.0,20.0,44.0,83.0,11214.0,53.35753176043557,0.0290275761973875,0.0638606676342525,0.1204644412191582,16.27576197387518,team-jumbo-visma-2023,176.0,0.045209350115592
7,movistar team,worldteams,spain,movistar-team-2023,canyon,sram,zipp,fizik,continental,look,quarq,100%,abus,fizik,lizard skins,gobik,226ers,garmin,elite,movistar-team-2023,1033.0,1.0,5.0,31.0,1608.0,70.9089968976215,0.0009680542110358,0.004840271055179,0.0300096805421103,1.5566311713455954,movistar-team-2023,2897.0,16.0,69.0,245.0,9714.0,59.53572764683876,0.0055229547808077,0.0238177424922333,0.0845702450811183,3.3531239212978945,movistar-team-2023,327.0,0.0,1.0,8.0,127.0,75.07407407407408,0.0,0.0030581039755351,0.0244648318042813,0.3883792048929663,movistar-team-2023,281.0,1.0,6.0,30.0,8955.0,34.7093023255814,0.0035587188612099,0.0213523131672597,0.1067615658362989,31.868327402135236,movistar-team-2023,943.0,5.0,21.0,83.0,6989.0,52.43557422969187,0.0053022269353128,0.0222693531283138,0.088016967126193,7.4114528101802755,movistar-team-2023,262.0,0.0615456894526662
8,soudal - quick step,worldteams,belgium,soudal-quick-step-2023,specialized,shimano,roval,specialized,specialized,shimano,shimano,oakley,specialized,specialized,supacaz,castelli,6d sports nutrition,garmin,tacx,soudal-quick-step-2023,1344.0,50.0,101.0,193.0,11517.0,64.15208825847124,0.0372023809523809,0.0751488095238095,0.1436011904761904,8.569196428571429,soudal-quick-step-2023,2821.0,47.0,109.0,275.0,15477.0,76.46970858895706,0.0166607585962424,0.0386387805742644,0.097483161999291,5.486352357320099,soudal-quick-step-2023,328.0,7.0,23.0,67.0,1556.0,54.73208722741433,0.0213414634146341,0.0701219512195122,0.2042682926829268,4.743902439024391,soudal-quick-step-2023,294.0,4.0,7.0,26.0,7405.0,28.48076923076923,0.0136054421768707,0.0238095238095238,0.0884353741496598,25.187074829931973,soudal-quick-step-2023,1064.0,44.0,91.0,178.0,18841.0,47.131147540983605,0.0413533834586466,0.0855263157894736,0.1672932330827067,17.707706766917294,soudal-quick-step-2023,258.0,0.0574226574671711
9,team arkea samsic,worldteams,france,team-arkea-samsic-2023,bianchi,shimano,shimano,selle italia,continental,,,ekoï,ekoï,,,jinga,,wahoo,,team-arkea-samsic-2023,904.0,4.0,24.0,89.0,4337.0,62.38569604086845,0.0044247787610619,0.0265486725663716,0.0984513274336283,4.797566371681416,team-arkea-samsic-2023,1801.0,8.0,24.0,123.0,5593.0,65.40102827763496,0.0044419766796224,0.0133259300388672,0.0682953914491948,3.1054969461410327,team-arkea-samsic-2023,109.0,0.0,0.0,0.0,9.0,86.3211009174312,0.0,0.0,0.0,0.0825688073394495,team-arkea-samsic-2023,99.0,0.0,0.0,4.0,2206.0,22.979166666666668,0.0,0.0,0.0404040404040404,22.282828282828284,team-arkea-samsic-2023,1510.0,11.0,37.0,158.0,8954.0,49.14588634435962,0.0072847682119205,0.0245033112582781,0.1046357615894039,5.929801324503312,team-arkea-samsic-2023,337.0,0.1195035460992907
