,fullname,team,team_code,country,height,weight,birthplace,rider_code,age,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day,nb_dnf_otl,pct_dnf_otl,group
0,sam  bennett ,bora - hansgrohe,bora-hansgrohe-2023,ireland,1.78,73.0,wervik,sam-bennett,32.0,95.0,18.0,38.0,50.0,2458.0,39.45555555555556,0.1894736842105263,0.4,0.5263157894736842,25.87368421052632,178.0,5.0,7.0,12.0,776.0,103.85276073619632,0.0280898876404494,0.0393258426966292,0.0674157303370786,4.359550561797753,23.0,0.0,0.0,0.0,0.0,100.77272727272728,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,8.409090909090908,52.0,3.0,6.0,12.0,1109.0,41.648648648648646,0.0576923076923076,0.1153846153846153,0.2307692307692307,21.32692307692308,19.0,0.0641891891891891,3
1,bob  jungels ,bora - hansgrohe,bora-hansgrohe-2023,luxembourg,1.89,70.0,rollingen,bob-jungels,30.0,48.0,1.0,2.0,2.0,275.0,67.61702127659575,0.0208333333333333,0.0416666666666666,0.0416666666666666,5.729166666666667,121.0,1.0,1.0,4.0,299.0,49.86086956521739,0.0082644628099173,0.0082644628099173,0.0330578512396694,2.471074380165289,18.0,0.0,0.0,3.0,48.0,26.27777777777778,0.0,0.0,0.1666666666666666,2.6666666666666665,14.0,0.0,0.0,2.0,511.0,0.0,0.0,0.1428571428571428,36.5,32.0,1.0,2.0,3.0,448.0,45.0,0.03125,0.0625,0.09375,14.0,6.0,0.0320855614973262,2
2,danny van poppel ,bora - hansgrohe,bora-hansgrohe-2023,netherlands,1.84,82.0,moergestel,danny-van-poppel,29.0,81.0,1.0,13.0,37.0,1397.0,28.35211267605634,0.0123456790123456,0.1604938271604938,0.4567901234567901,17.246913580246915,93.0,1.0,2.0,13.0,438.0,84.7875,0.010752688172043,0.021505376344086,0.1397849462365591,4.709677419354839,10.0,0.0,0.0,0.0,0.0,97.2,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,10.2,66.0,2.0,9.0,22.0,1353.0,30.0,0.0303030303030303,0.1363636363636363,0.3333333333333333,20.5,24.0,0.1297297297297297,3
3,aleksandr  vlasov ,bora - hansgrohe,bora-hansgrohe-2023,russia,1.86,68.0,vyborg,aleksandr-vlasov,26.0,31.0,0.0,0.0,1.0,31.0,38.41379310344828,0.0,0.0,0.032258064516129,1.0,109.0,2.0,12.0,35.0,1304.0,20.2843137254902,0.018348623853211,0.110091743119266,0.3211009174311927,11.963302752293576,13.0,1.0,1.0,4.0,81.0,16.923076923076923,0.0769230769230769,0.0769230769230769,0.3076923076923077,6.230769230769231,8.0,1.0,3.0,6.0,1380.0,0.125,0.375,0.75,172.5,26.0,1.0,5.0,8.0,780.0,26.695652173913043,0.0384615384615384,0.1923076923076923,0.3076923076923077,30.0,6.0,0.0392156862745098,0
4,patrick  konrad ,bora - hansgrohe,bora-hansgrohe-2023,austria,1.74,64.0,mödling,patrick-konrad,31.0,41.0,0.0,0.0,1.0,82.0,61.475,0.0,0.0,0.024390243902439,2.0,139.0,1.0,6.0,25.0,938.0,34.6124031007752,0.0071942446043165,0.0431654676258992,0.1798561151079136,6.748201438848921,19.0,0.0,0.0,1.0,17.0,48.73684210526316,0.0,0.0,0.0526315789473684,0.8947368421052632,13.0,0.0,1.0,2.0,613.0,0.0,0.0769230769230769,0.1538461538461538,47.15384615384615,48.0,0.0,0.0,7.0,571.0,37.78947368421053,0.0,0.0,0.1458333333333333,11.895833333333334,9.0,0.0452261306532663,0
5,maximilian  schachmann ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.83,70.0,berlin,maximilian-schachmann,29.0,38.0,1.0,1.0,1.0,59.0,70.5945945945946,0.0263157894736842,0.0263157894736842,0.0263157894736842,1.5526315789473684,118.0,3.0,14.0,36.0,1530.0,41.24107142857143,0.0254237288135593,0.1186440677966101,0.3050847457627119,12.966101694915254,14.0,1.0,1.0,4.0,82.0,25.615384615384617,0.0714285714285714,0.0714285714285714,0.2857142857142857,5.857142857142857,13.0,1.0,1.0,5.0,823.0,0.0769230769230769,0.0769230769230769,0.3846153846153846,63.30769230769231,25.0,1.0,5.0,12.0,1114.0,22.55,0.04,0.2,0.48,44.56,5.0,0.0294117647058823,0
6,emanuel  buchmann ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.79,59.0,ravensburg,emanuel-buchmann,30.0,45.0,0.0,0.0,0.0,0.0,65.8,0.0,0.0,0.0,0.0,120.0,1.0,2.0,22.0,537.0,29.6,0.0083333333333333,0.0166666666666666,0.1833333333333333,4.475,14.0,0.0,0.0,1.0,11.0,51.642857142857146,0.0,0.0,0.0714285714285714,0.7857142857142857,13.0,0.0,2.0,7.0,1292.0,0.0,0.1538461538461538,0.5384615384615384,99.3846153846154,24.0,0.0,0.0,6.0,250.0,30.058823529411764,0.0,0.0,0.25,10.416666666666666,9.0,0.0502793296089385,0
7,sergio  higuita ,bora - hansgrohe,bora-hansgrohe-2023,colombia,1.66,57.0,medellín,sergio-higuita,25.0,33.0,0.0,0.0,1.0,32.0,64.03030303030303,0.0,0.0,0.0303030303030303,0.9696969696969696,127.0,3.0,12.0,41.0,1275.0,32.857142857142854,0.0236220472440944,0.0944881889763779,0.3228346456692913,10.039370078740156,11.0,0.0,0.0,0.0,0.0,34.63636363636363,0.0,0.0,0.0,0.0,12.0,1.0,3.0,5.0,1184.0,0.0833333333333333,0.25,0.4166666666666667,98.66666666666669,29.0,0.0,2.0,10.0,699.0,27.416666666666668,0.0,0.0689655172413793,0.3448275862068966,24.103448275862068,6.0,0.0350877192982456,0
8,jai  hindley ,bora - hansgrohe,bora-hansgrohe-2023,australia,1.75,60.0,perth,jai-hindley,26.0,40.0,0.0,0.0,0.0,0.0,56.05128205128205,0.0,0.0,0.0,0.0,128.0,2.0,6.0,29.0,654.0,31.69421487603305,0.015625,0.046875,0.2265625,5.109375,15.0,0.0,0.0,0.0,1.0,50.46666666666667,0.0,0.0,0.0,0.0666666666666666,12.0,1.0,2.0,5.0,1172.0,0.0833333333333333,0.1666666666666666,0.4166666666666667,97.66666666666669,25.0,0.0,0.0,1.0,142.0,38.75,0.0,0.0,0.04,5.68,4.0,0.0218579234972677,0
9,nils  politt ,bora - hansgrohe,bora-hansgrohe-2023,germany,1.92,80.0,cologne,nils-politt,29.0,68.0,0.0,1.0,6.0,538.0,62.984375,0.0,0.0147058823529411,0.088235294117647,7.911764705882353,111.0,2.0,2.0,8.0,625.0,63.38095238095238,0.018018018018018,0.018018018018018,0.072072072072072,5.63063063063063,13.0,0.0,1.0,2.0,49.0,42.23076923076923,0.0,0.0769230769230769,0.1538461538461538,3.769230769230769,9.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,13.88888888888889,63.0,1.0,2.0,9.0,993.0,38.81818181818182,0.0158730158730158,0.0317460317460317,0.1428571428571428,15.761904761904765,5.0,0.0260416666666666,2
